Wall time,Step,Value
1611071744.2659316,0,-6.324390411376953
1611072877.1971366,50,-5.136170387268066
1611074018.6770825,100,-5.411627769470215
1611075166.697888,150,-4.461764812469482
1611076323.9143662,200,-2.8964285850524902
1611077473.454456,250,-4.3289475440979
1611078626.4553168,300,-5.797872543334961
1611079762.690674,350,-4.514705657958984
1611080907.9391515,400,-5.178787708282471
1611082034.631374,450,-3.9558823108673096
1611083172.086905,500,-5.041463375091553
1611084320.299415,550,-4.278260707855225
1611085468.6709726,600,-5.408888816833496
1611086616.173573,650,-4.666666507720947
1611087755.637927,700,-4.494285583496094
1611088891.8414369,750,-5.1777777671813965
1611090035.515307,800,-5.66829252243042
1611091169.4008324,850,-4.976470470428467
1611092309.7347443,900,-4.728947162628174
1611093440.1986258,950,-4.233333110809326
1611094580.3091114,1000,-6.15749979019165
1611095713.3292148,1050,-5.400000095367432
1611096848.7519798,1100,-6.657894611358643
1611097990.0648768,1150,-3.5326530933380127
1611099139.356079,1200,-5.6183671951293945
1611100268.9076607,1250,-5.0837836265563965
1611101419.9673004,1300,-3.1470587253570557
1611102556.1551034,1350,-4.597222328186035
1611103696.9700162,1400,-4.242105484008789
1611104832.340212,1450,-4.0
1611105966.343313,1500,-3.28125
1611107116.919072,1550,-3.264444351196289
1611108254.128496,1600,-4.30222225189209
1611109381.6952317,1650,-5.6976189613342285
1611110508.3815024,1700,-2.854285717010498
1611111657.2893481,1750,-3.095454454421997
1611112777.0854375,1800,-3.6649999618530273
1611113907.5539181,1850,-5.1052632331848145
1611115050.872957,1900,-3.4000000953674316
1611116180.5987334,1950,-2.951162815093994
1611117311.3544667,2000,-3.442500114440918
1611118471.3367379,2050,-2.4639999866485596
1611119613.989726,2100,-3.6488888263702393
1611120762.296107,2150,-5.083721160888672
1611121888.1993217,2200,-3.8446807861328125
1611123009.372567,2250,-3.7074074745178223
1611124144.4274383,2300,-5.936110973358154
1611125287.8075716,2350,-2.9000000953674316
1611126432.6710305,2400,-3.4384615421295166
1611127576.1746998,2450,-0.4306122362613678
1611128717.7430093,2500,-2.692500114440918
1611129853.1736019,2550,-3.53947377204895
1611131000.048162,2600,-4.508771896362305
1611132149.0941558,2650,-2.9692306518554688
1611133280.476846,2700,-4.726315975189209
1611134429.0512617,2750,-4.293749809265137
1611135584.0290895,2800,-0.758695662021637
1611136705.7769065,2850,-7.4588236808776855
1611137856.0584056,2900,-4.109090805053711
1611138995.0808077,2950,-2.993103504180908
1611140145.3039365,3000,-2.436842203140259
1611141310.3226554,3050,-2.8870370388031006
1611142470.189484,3100,-1.3918367624282837
1611143624.054686,3150,-3.9800000190734863
1611144758.6071744,3200,-2.651515245437622
1611145895.0882263,3250,-5.805660247802734
1611147050.4737492,3300,-3.739215612411499
1611148200.3578448,3350,-3.9283018112182617
1611149341.3660607,3400,-2.0410256385803223
1611150493.6583686,3450,-5.371110916137695
1611151639.376149,3500,-3.066666603088379
1611152781.7996686,3550,-2.8611111640930176
1611153931.9659274,3600,-2.7261905670166016
1611155077.769481,3650,-5.003703594207764
1611156218.6329188,3700,-2.922222137451172
1611157359.8168085,3750,-1.615625023841858
1611158482.4800997,3800,-4.916666507720947
1611159608.388136,3850,-5.4685187339782715
1611160748.6091466,3900,-3.415384531021118
1611161891.7074654,3950,-2.556410312652588
1611163036.649672,4000,-1.0370370149612427
1611164185.653984,4050,-3.2804348468780518
1611165316.8094656,4100,-3.5911765098571777
1611166445.8065653,4150,-3.1974358558654785
1611167578.0268471,4200,-1.8414634466171265
1611168715.7736123,4250,-0.31562501192092896
1611169862.8441308,4300,-2.7852940559387207
1611171013.8056054,4350,-3.197561025619507
1611172154.5191813,4400,-3.2324323654174805
1611173291.024163,4450,-3.34883713722229
1611174435.0054634,4500,-3.7461538314819336
1611175588.3792927,4550,-4.504444599151611
1611176708.243938,4600,-4.110000133514404
1611177845.2736127,4650,-4.090909004211426
1611178981.4117079,4700,-4.415217399597168
1611180111.8414428,4750,-4.69069766998291
1611181240.791949,4800,-3.392307758331299
1611182360.4150963,4850,-5.647368431091309
1611183476.53071,4900,-4.386486530303955
1611184612.9328027,4950,-4.254054069519043
1611185739.6126654,5000,-3.690000057220459
