Wall time,Step,Value
1611071767.290344,0,-5.5625
1611072912.9720676,50,-7.5239129066467285
1611074060.0405777,100,-5.225714206695557
1611075209.0287073,150,-5.781818389892578
1611076354.4691129,200,-5.361363410949707
1611077512.0157094,250,-6.578260898590088
1611078657.8981965,300,-5.924489974975586
1611079794.4699225,350,-7.099999904632568
1611080945.5172143,400,-5.853488445281982
1611082101.1394136,450,-5.269047737121582
1611083257.31085,500,-5.111904621124268
1611084401.3587828,550,-6.331250190734863
1611085549.0632987,600,-5.6693878173828125
1611086690.4775305,650,-6.285714149475098
1611087849.506334,700,-5.133333206176758
1611089014.3161952,750,-6.439024448394775
1611090166.770967,800,-4.325806617736816
1611091322.0087175,850,-3.247499942779541
1611092460.952774,900,-2.6549999713897705
1611093605.2990577,950,-3.48888897895813
1611094753.12447,1000,-2.569444417953491
1611095900.6825633,1050,-3.5473685264587402
1611097037.173208,1100,-3.7121212482452393
1611098184.2703214,1150,-3.870270252227783
1611099327.9949684,1200,-2.63611102104187
1611100451.0503538,1250,-4.636585235595703
1611101600.1883333,1300,-2.502272844314575
1611102744.282077,1350,-3.96486496925354
1611103884.2375531,1400,-3.9589743614196777
1611105026.6928265,1450,-3.3578946590423584
1611106178.6392064,1500,-2.630232572555542
1611107329.1164117,1550,-2.1571428775787354
1611108475.9892917,1600,-1.7255319356918335
1611109622.3004842,1650,-3.1621620655059814
1611110770.4232776,1700,-3.123076915740967
1611111888.2090673,1750,-4.890322685241699
1611113012.3250313,1800,-1.913636326789856
1611114151.8635561,1850,-3.357142925262451
1611115308.9744139,1900,-2.984999895095825
1611116446.3034666,1950,-3.516326427459717
1611117578.7293327,2000,-3.7952380180358887
1611118711.0340388,2050,-4.2292680740356445
1611119862.3823173,2100,-2.3770833015441895
1611121003.2401738,2150,-3.279487133026123
1611122137.8896117,2200,-4.146666526794434
1611123280.4806795,2250,-1.7842105627059937
1611124425.736477,2300,-2.9675676822662354
1611125584.2210138,2350,-1.4244444370269775
1611126737.2443476,2400,-4.099999904632568
1611127882.1115184,2450,-2.9911763668060303
1611129027.628302,2500,-4.134883880615234
1611130165.3162563,2550,-4.665714263916016
1611131302.1436641,2600,-4.431707382202148
1611132430.84728,2650,-3.4049999713897705
1611133585.845024,2700,-3.962069034576416
1611134713.9933157,2750,-4.725641250610352
1611135851.5843134,2800,-3.3333332538604736
1611136975.2495594,2850,-2.5428571701049805
1611138112.2868364,2900,-3.133333444595337
1611139261.5530975,2950,-4.472972869873047
1611140407.9651237,3000,-2.1224489212036133
1611141537.7754846,3050,-4.361363410949707
1611142677.4952893,3100,-2.2200000286102295
1611143824.714462,3150,-3.069230794906616
1611144960.7605247,3200,-4.704877853393555
1611146100.464598,3250,-3.8111112117767334
1611147250.9427233,3300,-0.5113636255264282
1611148396.1518278,3350,-1.3605263233184814
1611149557.052364,3400,-4.400000095367432
1611150700.5250032,3450,-2.4793102741241455
1611151827.1798563,3500,-3.3575000762939453
1611152973.8122208,3550,-2.3842105865478516
1611154094.567578,3600,-2.753124952316284
1611155215.228521,3650,-4.0
1611156344.414501,3700,-2.0756757259368896
1611157483.2072423,3750,-3.69189190864563
1611158615.3548615,3800,-4.90238094329834
1611159749.2219899,3850,-2.1666667461395264
1611160861.7995014,3900,-2.4352941513061523
1611161983.8905978,3950,-1.01714289188385
1611163120.251443,4000,-3.4777777194976807
1611164261.828202,4050,-4.306976795196533
1611165386.9850702,4100,-2.9886362552642822
1611166507.0880487,4150,-1.939130425453186
1611167639.53694,4200,-3.965853691101074
1611168782.2923434,4250,-2.0333333015441895
1611169911.2749305,4300,-5.213953495025635
1611171024.8218575,4350,-3.2276594638824463
1611172147.6207654,4400,-3.9054055213928223
1611173261.3423064,4450,-2.1488888263702393
1611174381.6800241,4500,-4.3085713386535645
1611175504.7133803,4550,-3.7354166507720947
1611176634.6494641,4600,-5.508510589599609
1611177760.1711428,4650,-2.038461446762085
1611178886.0611668,4700,-3.4674417972564697
1611180016.412221,4750,-1.0441176891326904
1611181159.467439,4800,0.5375000238418579
1611182287.160321,4850,-2.4555554389953613
1611183405.4419339,4900,-1.004347801208496
1611184536.1675441,4950,-2.715789556503296
1611185666.6223638,5000,-3.0411765575408936
