Wall time,Step,Value
1601223672.9599082,0,-8.116278648376465
1601224580.1428483,1,-3.3125
1601225489.8243227,2,-8.94705867767334
1601226401.3820424,3,-6.687878608703613
1601227306.228064,4,-8.182608604431152
1601228215.8989005,5,-6.129729747772217
1601229126.1405687,6,-6.168181896209717
1601230037.429284,7,-5.327499866485596
1601230956.720144,8,-3.409803867340088
1601231867.7166607,9,-3.105405330657959
1601232778.2129812,10,-5.179999828338623
1601233684.420361,11,-5.370967864990234
1601234591.987981,12,-5.562790870666504
1601235502.3388221,13,-5.43055534362793
1601236413.0968509,14,-3.6777777671813965
1601237320.5888283,15,-4.777777671813965
1601238229.5791643,16,-3.9219512939453125
1601239132.1064036,17,-6.166666507720947
1601240046.9130003,18,-3.702040910720825
1601240948.6773603,19,-3.951612949371338
1601241860.8345072,20,-5.289361476898193
1601242764.5114558,21,-4.797059059143066
1601243669.9450881,22,-4.455555438995361
1601244579.2796836,23,-2.6605262756347656
1601245485.8635132,24,-0.9846153855323792
1601246385.5474699,25,-1.769444465637207
1601247286.650962,26,-4.3108696937561035
1601248197.4080129,27,-5.011904716491699
1601249103.6084297,28,-1.2155555486679077
1601250008.3168943,29,-4.9571428298950195
1601250910.5448663,30,-2.4744679927825928
1601251817.7752619,31,-2.5794870853424072
1601252723.704107,32,-1.8226414918899536
1601253627.6142123,33,-3.292105197906494
1601254534.8609283,34,-3.2300000190734863
1601255445.6041796,35,-2.3306121826171875
1601256349.6681871,36,-3.40256404876709
1601257247.9951634,37,-2.799999952316284
1601258150.8726234,38,-5.692592620849609
1601259046.924624,39,-2.5382351875305176
1601259942.838342,40,-2.7757575511932373
1601260834.5487788,41,-6.684615612030029
1601261733.4785292,42,-1.777500033378601
1601262643.818186,43,-1.0921568870544434
1601263539.8795354,44,-3.3343749046325684
1601264431.625129,45,-0.38064515590667725
1601265327.43088,46,0.8073170781135559
1601266207.9245677,47,-0.43437498807907104
1601267084.6865308,48,0.9632652997970581
1601267956.315271,49,-2.744736909866333
1601268821.947932,50,6.023809432983398
1601269686.1167881,51,3.768749952316284
1601270558.8702648,52,1.951111078262329
1601271424.231911,53,4.080769062042236
1601272284.4953327,54,2.3181817531585693
1601273142.9583166,55,3.5176470279693604
1601273996.2777214,56,3.7409090995788574
1601274863.0051732,57,1.5627450942993164
1601275728.6763616,58,5.551219463348389
1601276595.128294,59,1.9454545974731445
1601277446.3794954,60,5.1980390548706055
1601278296.1820083,61,2.192857027053833
1601279149.779495,62,6.128571510314941
1601279993.5137434,63,-2.6388888359069824
1601280839.118473,64,6.636000156402588
1601281693.4480104,65,7.908888816833496
1601282537.134213,66,5.0960001945495605
1601283382.4370158,67,1.2719999551773071
1601284233.060853,68,3.7804877758026123
1601285076.8654804,69,1.268965482711792
1601285923.4945254,70,-0.9120000004768372
1601286771.5753813,71,2.8961539268493652
1601287631.6518602,72,5.178048610687256
1601288487.5567727,73,2.816216230392456
1601289338.1492784,74,0.385185182094574
1601290186.3590398,75,4.696296215057373
1601291041.815457,76,8.15333366394043
1601291894.0907502,77,5.820689678192139
1601292772.546949,78,5.843478202819824
1601293692.926889,79,7.599999904632568
1601294607.7698302,80,7.461999893188477
1601295522.0939121,81,6.204761981964111
1601296435.698536,82,5.861363410949707
1601297351.2560368,83,8.027083396911621
1601298265.5282044,84,5.7260870933532715
1601299182.8547106,85,7.525862216949463
1601300086.0918813,86,7.6880950927734375
1601301003.7043,87,9.350000381469727
1601301903.20098,88,7.523404121398926
1601302799.8697157,89,8.982978820800781
1601303693.6940985,90,8.669230461120605
1601304584.6582747,91,2.3499999046325684
1601305473.9398685,92,9.966666221618652
1601306358.8637033,93,9.628571510314941
1601307242.625265,94,8.401723861694336
1601308110.692697,95,9.04651165008545
1601308972.5641525,96,4.551612854003906
1601309834.8014126,97,6.420000076293945
1601325182.624081,98,4.664285659790039
1601326066.1147168,99,7.141176462173462
1601326957.405846,100,8.293181896209717
