Wall time,Step,Value
1601223665.8189306,0,-5.925000190734863
1601224578.6799026,1,-5.111111164093018
1601225495.6542034,2,-5.013513565063477
1601226408.824762,3,-6.115789413452148
1601227322.4097602,4,-7.472093105316162
1601228240.5819464,5,-4.847222328186035
1601229156.2328446,6,-6.0676469802856445
1601230075.898884,7,-5.837209224700928
1601230993.769554,8,-4.521212100982666
1601231910.7824075,9,-4.616666793823242
1601232825.8175025,10,-5.765116214752197
1601233742.9300065,11,-5.464000225067139
1601234656.244452,12,-5.349999904632568
1601235573.6204565,13,-5.566666603088379
1601236491.5494227,14,-4.765625
1601237412.6901057,15,-4.924489974975586
1601238325.7733204,16,-3.6605262756347656
1601239240.382168,17,-5.868750095367432
1601240154.4541733,18,-4.160526275634766
1601241065.0537424,19,-1.6647058725357056
1601241982.9215293,20,-2.752173900604248
1601242892.4287982,21,-4.09499979019165
1601243804.7222614,22,-4.326315879821777
1601244714.5171,23,-2.971874952316284
1601245627.706151,24,-3.006382942199707
1601246536.9973235,25,-3.117142915725708
1601247444.3467379,26,-3.7153847217559814
1601248357.3628893,27,-2.7320001125335693
1601249267.9142466,28,-2.2093024253845215
1601250174.497325,29,-3.043137311935425
1601251076.7683828,30,-1.1363636255264282
1601251986.975111,31,-0.5933333039283752
1601252894.6820993,32,-2.68461537361145
1601253792.2882802,33,-2.024242401123047
1601254693.128492,34,2.567441940307617
1601255598.8993096,35,0.791304349899292
1601256509.137931,36,3.281395435333252
1601257404.858919,37,-1.1480000019073486
1601258296.2581599,38,-2.203571319580078
1601259197.783922,39,2.790740728378296
1601260089.5312622,40,2.700000047683716
1601260973.1905918,41,2.8820512294769287
1601261864.0692904,42,0.7340425252914429
1601262756.7026262,43,2.5239131450653076
1601263649.3525405,44,4.900000095367432
1601264543.6358395,45,2.581249952316284
1601265433.1569364,46,1.6581395864486694
1601266306.9936054,47,1.9311110973358154
1601267177.3761737,48,0.7131578922271729
1601268045.047969,49,4.675000190734863
1601268917.052188,50,3.4375
1601269787.857795,51,0.0325581394135952
1601270654.8898451,52,-0.5680000185966492
1601271527.2407901,53,3.578723430633545
1601272396.025378,54,5.097777843475342
1601273256.3739336,55,1.899999976158142
1601274127.8443959,56,7.09649133682251
1601274988.5869913,57,7.410638332366943
1601275854.2406185,58,4.063333511352539
1601276717.640817,59,-0.31081080436706543
1601277568.7758348,60,-3.1781249046325684
1601278425.1963382,61,8.491304397583008
1601279278.1882195,62,4.275000095367432
1601280138.1067789,63,3.936363697052002
1601280991.5412836,64,7.186046600341797
1601281856.4682598,65,4.247058868408203
1601282706.0728536,66,-2.9588234424591064
1601283563.57318,67,5.4019999504089355
1601284416.1199846,68,7.957446575164795
1601285271.356695,69,8.251219749450684
1601286129.1457248,70,6.3934783935546875
1601286985.4431818,71,7.361701965332031
1601287838.3141043,72,5.175000190734863
1601288696.7213662,73,10.093181610107422
1601289547.3568435,74,5.840909004211426
1601290395.0602527,75,-1.3416666984558105
1601291253.4025834,76,7.908474445343018
1601292117.9713619,77,4.1686272621154785
1601293027.148976,78,7.08297872543335
1601293948.0537622,79,5.95510196685791
1601294868.2397923,80,7.552000045776367
1601295790.4606748,81,4.34375
1601296701.900288,82,8.754545211791992
1601297619.9981391,83,6.365217208862305
1601298541.1423633,84,8.769767761230469
1601299464.6546855,85,11.901923179626465
1601300379.455709,86,7.604762077331543
1601301287.5736437,87,6.3655171394348145
1601302186.5181043,88,8.915789604187012
1601303081.7678366,89,5.422580718994141
1601303976.141778,90,11.595454216003418
1601304868.446969,91,4.770967960357666
1601305764.2706008,92,7.2265305519104
1601306648.74196,93,8.04888916015625
1601307515.635226,94,3.932142972946167
1601308385.203758,95,11.854762077331543
1601309253.8805559,96,10.079999923706055
1601324941.9613776,97,5.343902587890625
1601325847.573666,98,8.98799991607666
1601326748.4235644,99,8.75
1601327653.3060825,100,4.2324323654174805
