Wall time,Step,Value
1607099258.021391,0,-5.449999809265137
1607100935.0238192,1,-6.481818199157715
1607102634.174322,2,-6.0333333015441895
1607104348.0852463,3,-6.708333492279053
1607106013.7264283,4,-7.419444561004639
1607107656.9944065,5,-5.6583333015441895
1607109303.3051758,6,-7.02142858505249
1607110951.049782,7,-7.754761695861816
1607112601.2374034,8,-4.102127552032471
1607114239.3183665,9,-6.15925931930542
1607115878.824784,10,-7.746666431427002
1607117514.6443672,11,-5.238888740539551
1607119146.6547215,12,-4.777500152587891
1607120767.2677057,13,-4.014285564422607
1607122391.1714287,14,-2.810638189315796
1607123991.746175,15,-4.489999771118164
1607125640.8634248,16,-3.6424999237060547
1607127294.2876325,17,-3.24210524559021
1607128944.371568,18,-0.9227272868156433
1607130578.0115762,19,-3.4777777194976807
1607132200.4868546,20,-4.137499809265137
1607133824.8347666,21,-5.909523963928223
1607135457.8634987,22,-5.517948627471924
1607137095.053952,23,-4.086792469024658
1607138710.4615397,24,-2.3177778720855713
1607140310.6168842,25,-1.8581395149230957
1607141926.044268,26,-3.01111102104187
1607143567.5813806,27,-0.9694444537162781
1607145190.8261988,28,-0.9901960492134094
1607146803.3117907,29,-3.487499952316284
1607148410.4182546,30,-1.8333333730697632
1607149994.100103,31,0.48181816935539246
1607151612.2258718,32,3.022580623626709
1607153208.9761553,33,-0.4535714387893677
1607154807.2219305,34,-2.1925926208496094
1607156429.2745879,35,0.05576923117041588
1607158068.8530688,36,0.01875000074505806
1607159704.2597606,37,3.1259260177612305
1607161341.2601507,38,1.9310344457626343
1607162954.5193937,39,3.4200000762939453
1607164562.5018194,40,2.34375
1607166161.3876703,41,1.6076923608779907
1607167749.370111,42,1.1380000114440918
1607169323.0114102,43,6.68510627746582
1607170849.9635062,44,-0.4633333384990692
1607172352.8994527,45,0.739393949508667
1607173873.3266907,46,2.9326086044311523
1607175381.1663136,47,0.8617647290229797
1607176885.1625555,48,3.2224490642547607
1607178395.2121398,49,4.723255634307861
1607179926.2750976,50,9.84565258026123
1607181455.1182802,51,3.7265305519104004
1607182965.1787407,52,4.376315593719482
1607184478.8165944,53,6.547999858856201
1607185988.9649637,54,5.5428571701049805
1607187474.699582,55,4.560465335845947
1607188963.140612,56,8.758695602416992
1607190455.4774327,57,6.471111297607422
1607191932.394635,58,9.370270729064941
1607193373.6771536,59,8.675000190734863
1607194832.465725,60,4.39642858505249
1607196296.1515944,61,5.123912811279297
1607197751.6447284,62,4.559374809265137
1607199231.1689236,63,7.195918560028076
1607200722.9203348,64,5.170731544494629
1607202212.031517,65,2.2358975410461426
1607203665.9341283,66,7.045454502105713
1607205133.067043,67,8.489285469055176
1607206587.8569465,68,9.466666221618652
1607208048.8510423,69,5.542424201965332
1607209504.7481422,70,0.7666666507720947
1607210974.7566035,71,5.416666507720947
1607212458.714468,72,6.1823530197143555
1607213946.1378074,73,4.368292808532715
1607215442.4646134,74,3.2322580814361572
1607216933.4851215,75,8.377049446105957
1607218387.2211146,76,5.08965539932251
1607219859.8513072,77,2.9156250953674316
1607221343.6863275,78,8.416666984558105
1607222817.2329183,79,6.427451133728027
1607224293.0191398,80,8.342857360839844
1607225734.1374922,81,4.638095378875732
1607227171.5922685,82,8.957447052001953
1607228597.9862149,83,6.171111106872559
1607230020.8122067,84,1.3312499523162842
1607231449.4699135,85,6.317777633666992
1607232888.5815322,86,6.472548961639404
1607234344.3310955,87,8.974418640136719
1607235829.335211,88,9.773585319519043
1607237300.3681765,89,7.435714244842529
1607238783.469365,90,6.42553186416626
1607240241.5890644,91,4.599999904632568
1607241690.8788803,92,-4.276923179626465
1607243154.957528,93,8.195454597473145
1607244613.6732376,94,3.4803922176361084
1607246069.2327754,95,8.621999740600586
1607247517.267137,96,7.471428394317627
1607248964.7288156,97,8.695121765136719
1607250424.0322697,98,10.21363639831543
1607251876.223899,99,7.793333530426025
1607253293.9955246,100,9.801886558532715
