Wall time,Step,Value
1607099272.2537851,0,-8.151219367980957
1607100984.9435112,1,-7.2482757568359375
1607102647.1790698,2,-6.349999904632568
1607104302.5908644,3,-6.9195122718811035
1607105958.0434632,4,-4.449019432067871
1607107620.9933665,5,-8.502174377441406
1607109278.8205442,6,-5.848936080932617
1607110935.4519916,7,-5.444117546081543
1607112608.5779927,8,-5.110526084899902
1607114277.0839524,9,-6.7324323654174805
1607115905.3778846,10,-6.074999809265137
1607117520.4897437,11,-3.805555582046509
1607119148.9259112,12,-2.2755556106567383
1607120781.092819,13,-4.483783721923828
1607122436.2356753,14,-4.222222328186035
1607124104.1428144,15,-4.681818008422852
1607125738.9706697,16,-4.963414669036865
1607127363.2543702,17,-1.9106383323669434
1607128992.871367,18,-2.0346152782440186
1607130621.590044,19,-5.706060409545898
1607132257.0909822,20,-7.663636207580566
1607133915.8098228,21,-2.7228572368621826
1607135570.9136822,22,-4.617948532104492
1607137227.9778123,23,-2.752173900604248
1607138873.1902936,24,-2.5103447437286377
1607140530.766509,25,-3.4000000953674316
1607142176.4473743,26,-2.805882453918457
1607143819.8733716,27,-4.372727394104004
1607145467.4334302,28,-4.46363639831543
1607147119.2233243,29,-1.3562500476837158
1607148770.293871,30,-6.666666507720947
1607150462.3039072,31,-4.225641250610352
1607152156.1673875,32,-3.034482717514038
1607153829.9679246,33,-2.180952310562134
1607155470.8078995,34,-4.256410121917725
1607157111.5423753,35,-2.9019999504089355
1607158746.7277868,36,-2.7057693004608154
1607160374.552237,37,-2.4384615421295166
1607162017.7647614,38,-0.7795918583869934
1607163646.9955351,39,-0.006976744160056114
1607165268.8317919,40,-3.1527273654937744
1607166907.9794574,41,-2.4837210178375244
1607168545.4097242,42,2.7174999713897705
1607170129.906565,43,-6.550000190734863
1607171657.8462293,44,-0.675000011920929
1607173189.930586,45,2.3020832538604736
1607174727.5145779,46,-0.012765957042574883
1607176269.7455754,47,-0.6520000100135803
1607177809.0260816,48,2.680000066757202
1607179362.676942,49,0.9930232763290405
1607180912.1409082,50,0.1471698135137558
1607182462.553453,51,1.2740740776062012
1607184008.5272853,52,3.2708332538604736
1607185525.4273255,53,0.7270269989967346
1607187043.2560139,54,-2.294285774230957
1607188549.0892372,55,1.6479166746139526
1607190060.6767755,56,1.6323529481887817
1607191575.2972584,57,4.996153831481934
1607193057.7842288,58,7.346808433532715
1607194530.8487585,59,4.369565010070801
1607196012.5998046,60,5.706818103790283
1607197493.3446867,61,2.132352828979492
1607198984.8360436,62,4.532142639160156
1607200463.210764,63,4.72352933883667
1607201921.3297775,64,4.2771430015563965
1607203386.9619892,65,-0.6833333373069763
1607204858.792515,66,4.270454406738281
1607206343.8138127,67,6.874359130859375
1607207829.6644025,68,6.8470587730407715
1607209307.5212805,69,7.6875
1607210784.1717815,70,6.059259414672852
1607212271.8957102,71,5.239999771118164
1607213755.2095473,72,6.4422221183776855
1607215226.285288,73,7.239999771118164
1607216701.9659426,74,5.120689868927002
1607218197.4746172,75,7.728000164031982
1607219685.435282,76,4.953845977783203
1607221158.993575,77,7.154545307159424
1607222643.4863071,78,5.5920000076293945
1607224119.6739404,79,6.77400016784668
1607225617.7739258,80,2.392307758331299
1607227127.8251047,81,7.179999828338623
1607228647.1884682,82,6.3913044929504395
1607230170.472652,83,3.270909070968628
1607231691.226623,84,9.46399974822998
1607233178.2803338,85,7.885365962982178
1607234660.1686215,86,9.176316261291504
1607236158.727923,87,4.8740739822387695
1607237639.0459838,88,6.981818199157715
1607239118.108053,89,10.165384292602539
1607240597.212738,90,4.979411602020264
1607242110.4367762,91,7.413636207580566
1607243620.7926369,92,10.569564819335938
1607245144.9282572,93,8.302083015441895
1607246677.0126677,94,7.40645170211792
1607248193.3623776,95,8.239130020141602
1607249697.1851974,96,-3.0428571701049805
1607251216.7558506,97,9.70199966430664
1607252693.035312,98,11.140816688537598
1607253980.009857,99,8.758695602416992
1607255103.9774725,100,5.75
