Wall time,Step,Value
1603603929.3605807,0,-6.789473533630371
1603605652.786588,1,-7.036841869354248
1603607376.6969552,2,-8.830434799194336
1603609114.4584496,3,-8.033333778381348
1603610861.920476,4,-5.205882549285889
1603612590.4623272,5,-7.5333333015441895
1603614312.199262,6,-5.813953399658203
1603616039.5663445,7,-4.902702808380127
1603617796.56984,8,-3.265000104904175
1603619554.3216,9,-2.9432432651519775
1603621306.6671546,10,-3.257499933242798
1603623052.8965313,11,-3.713157892227173
1603624805.3556046,12,-3.6297872066497803
1603626561.2169147,13,-5.105128288269043
1603628312.484497,14,-2.7941176891326904
1603630065.970347,15,-2.043243169784546
1603631806.6791837,16,-4.019999980926514
1603633549.7685194,17,-2.2090909481048584
1603635292.0070357,18,-3.344444513320923
1603637014.821693,19,-5.358333110809326
1603638750.313805,20,-1.024999976158142
1603640467.9740806,21,0.6079999804496765
1603642204.1451125,22,0.27547168731689453
1603643932.983726,23,0.48750001192092896
1603645662.8590908,24,-1.640540599822998
1603647389.7361794,25,1.4341462850570679
1603649108.1496835,26,3.2224490642547607
1603650824.4341278,27,-2.1744186878204346
1603652544.612565,28,-0.7020833492279053
1603654252.9229937,29,0.49210527539253235
1603655980.4764144,30,6.709523677825928
1603657702.0180101,31,3.1222221851348877
1603659415.3474214,32,8.358333587646484
1603661133.3451674,33,3.4666666984558105
1603662850.7796657,34,8.162500381469727
1603664559.7140698,35,8.545098304748535
1603666243.7049365,36,1.600000023841858
1603667942.0850687,37,4.237931251525879
1603669629.5576036,38,4.512195110321045
1603671316.30454,39,7.283871173858643
1603672992.7962604,40,6.391666889190674
1603674657.510134,41,9.326530456542969
1603676316.9181342,42,6.985714435577393
1603677992.5166845,43,5.6539998054504395
1603679650.9490585,44,9.54230785369873
1603681287.4506342,45,7.543137073516846
1603682931.4666154,46,6.563889026641846
1603684547.0024347,47,12.206250190734863
1603686195.020435,48,6.724999904632568
1603687817.2304156,49,7.369697093963623
1603689433.9884996,50,10.456250190734863
1603691041.0649312,51,14.093181610107422
1603692685.5065901,52,5.551515102386475
1603694310.279782,53,12.571739196777344
1603695935.2524345,54,7.035555362701416
1603697561.0123422,55,9.350000381469727
1603699203.8210206,56,13.764444351196289
1603700864.8494053,57,9.53396224975586
1603702502.6058095,58,11.668000221252441
1603704143.4286835,59,7.478048801422119
1603705785.2942662,60,9.409677505493164
1603707418.230353,61,13.621622085571289
1603709065.6837726,62,14.204444885253906
1603710714.5659277,63,15.830357551574707
1603712357.1890528,64,11.84782600402832
1603713994.505049,65,15.018965721130371
1603715630.7788877,66,15.954545021057129
1603717202.0940278,67,8.795744895935059
1603718731.5897748,68,14.329545021057129
1603720320.4008768,69,16.145238876342773
1603721927.1001513,70,13.654166221618652
1603723540.026502,71,12.445833206176758
1603725151.581816,72,13.184782981872559
1603726769.4815621,73,15.04285717010498
1603728377.868741,74,9.971697807312012
1603729979.4880018,75,15.662790298461914
1603731593.4169645,76,15.733333587646484
1603733208.0947149,77,15.776190757751465
1603734816.989453,78,11.6899995803833
1603736440.84783,79,13.579999923706055
1603738036.51013,80,11.061538696289062
1603739650.6338882,81,17.558929443359375
1603741251.839909,82,7.889655113220215
1603742861.9899466,83,11.854545593261719
1603744472.5440226,84,15.02765941619873
1603745994.0240252,85,17.625
1603747554.103584,86,17.42727279663086
1603749097.9599457,87,13.534883499145508
1603750620.681254,88,17.452543258666992
1603752156.6534083,89,15.043859481811523
1603753676.794876,90,9.387804985046387
1603755190.049088,91,13.465789794921875
1603756704.0618823,92,14.412195205688477
1603758230.6393423,93,9.030769348144531
1603759777.7704878,94,15.258928298950195
1603761397.9340873,95,14.092000007629395
1603762962.0016074,96,0.3499999940395355
1603764516.4636889,97,12.951851844787598
1603766083.9419146,98,18.311111450195312
1603767601.7373421,99,16.56304359436035
1603769134.588839,100,19.80363655090332
