Wall time,Step,Value
1603603924.0878587,0,-8.600000381469727
1603605648.7362695,1,-6.009375095367432
1603607386.435282,2,-7.42307710647583
1603609131.1676965,3,-6.480952262878418
1603610875.9703343,4,-6.788372039794922
1603612596.273477,5,-6.550000190734863
1603614319.3755767,6,-4.021951198577881
1603616052.0995157,7,-7.287179470062256
1603617811.7521327,8,-3.51111102104187
1603619575.9428673,9,-3.6156861782073975
1603621327.2999008,10,-5.3575758934021
1603623087.0820131,11,-4.748888969421387
1603624849.2728553,12,-3.4980392456054688
1603626606.382286,13,-4.489743709564209
1603628379.0955548,14,-4.622727394104004
1603630131.499662,15,-3.1075000762939453
1603631883.9257042,16,-4.761702060699463
1603633637.2194607,17,-4.722727298736572
1603635392.7064822,18,-4.626470565795898
1603637143.1618814,19,-4.258333206176758
1603638889.6266046,20,-4.136363506317139
1603640646.2083416,21,-3.5941176414489746
1603642400.0064952,22,-4.3684210777282715
1603644152.712753,23,-3.077500104904175
1603645906.4298742,24,-2.9677419662475586
1603647647.9182928,25,-2.7645161151885986
1603649396.3787968,26,-1.4129629135131836
1603651138.0323014,27,0.6538461446762085
1603652873.680425,28,-2.429032325744629
1603654621.8474796,29,-0.7465116381645203
1603656362.0617537,30,0.6803921461105347
1603658088.1939023,31,4.952381134033203
1603659825.7854002,32,-0.32380953431129456
1603661537.4582713,33,0.1944444477558136
1603663260.2410204,34,0.33125001192092896
1603664974.9614735,35,1.2742856740951538
1603666688.5880084,36,2.443589687347412
1603668407.8142786,37,4.7326531410217285
1603670103.3520088,38,1.9448275566101074
1603671821.3311217,39,6.406976699829102
1603673516.4268277,40,4.277777671813965
1603675203.949623,41,8.497872352600098
1603676885.5122485,42,13.120408058166504
1603678576.5528681,43,9.959183692932129
1603680249.5917525,44,8.05227279663086
1603681907.7696116,45,6.5239129066467285
1603683540.691271,46,11.01956558227539
1603685188.202566,47,9.600000381469727
1603686836.660913,48,3.98974347114563
1603688465.9295309,49,8.762222290039062
1603690093.3110712,50,12.145097732543945
1603691726.233295,51,11.611363410949707
1603693363.2204874,52,15.008000373840332
1603695005.901854,53,12.375862121582031
1603696627.4874942,54,3.1644444465637207
1603698273.8670394,55,14.71276569366455
1603699927.1462977,56,17.559524536132812
1603701578.838461,57,14.350000381469727
1603703225.941772,58,12.102325439453125
1603704862.980257,59,10.610203742980957
1603706488.4425118,60,1.4600000381469727
1603708130.076111,61,14.149123191833496
1603709772.4467387,62,9.720588684082031
1603711415.218947,63,15.436956405639648
1603713066.0100486,64,10.45714282989502
1603714720.320677,65,14.631817817687988
1603716360.827081,66,6.439473628997803
1603717852.2462523,67,8.174074172973633
1603719419.4640553,68,17.454761505126953
1603721023.9261756,69,10.862069129943848
1603722655.1050816,70,14.394915580749512
1603724265.1056635,71,15.833333015441895
1603725883.1666548,72,9.448780059814453
1603727489.0307412,73,14.244000434875488
1603729117.3034863,74,7.315000057220459
1603730730.5685906,75,13.784090995788574
1603732359.7163167,76,15.350000381469727
1603733992.3473234,77,11.699999809265137
1603735601.991987,78,13.082608222961426
1603737223.1869028,79,8.125
1603738839.9478533,80,16.954545974731445
1603740452.4124672,81,13.529411315917969
1603742077.2096343,82,16.191110610961914
1603743688.8550396,83,15.0
1603745251.0470717,84,12.848276138305664
1603746789.3961132,85,20.56551742553711
1603748353.2503185,86,15.106249809265137
1603749861.5048473,87,13.508108139038086
1603751398.187818,88,13.711764335632324
1603752910.7446604,89,19.35357093811035
1603754421.1617131,90,13.195348739624023
1603755931.57746,91,15.731111526489258
1603757454.1965456,92,17.280851364135742
1603758989.5779119,93,13.102325439453125
1603760592.173496,94,9.595349311828613
1603762204.657793,95,15.727272987365723
1603763786.4140599,96,16.004348754882812
1603765356.1882637,97,14.029787063598633
1603766918.228228,98,12.22449016571045
1603768444.002934,99,18.006778717041016
1603769864.7817814,100,15.757447242736816
