Wall time,Step,Value
1599479038.2005224,0,-4.9268293380737305
1599479848.524003,1,-6.915151596069336
1599480668.063976,2,-7.658823490142822
1599481486.0785825,3,-8.890000343322754
1599482287.4987051,4,-6.697297096252441
1599483091.2644584,5,-5.536110877990723
1599483898.9638486,6,-4.233333110809326
1599484716.9119413,7,-5.65749979019165
1599485522.6691628,8,-4.722580432891846
1599486327.7334287,9,-5.978947162628174
1599487124.9302225,10,-5.980000019073486
1599487928.8365972,11,-4.811110973358154
1599488732.4057152,12,-5.043243408203125
1599489549.21059,13,-4.725714206695557
1599490366.624328,14,-4.261904716491699
1599491169.4121377,15,-9.0090913772583
1599491962.514849,16,-3.843478202819824
1599492763.6214752,17,-4.992156982421875
1599493570.591393,18,-3.606250047683716
1599494379.116597,19,-4.779069900512695
1599495179.3067203,20,-4.889473915100098
1599495974.6944072,21,-5.176743984222412
1599496773.797541,22,-4.111111164093018
1599497573.1879182,23,-3.8717949390411377
1599498363.0465147,24,-3.034210443496704
1599499150.35929,25,-3.136666774749756
1599499950.8604548,26,-4.552830219268799
1599500749.4757693,27,-2.8869564533233643
1599501544.85724,28,-4.306896686553955
1599502336.3395333,29,-2.3935484886169434
1599503135.4872453,30,-3.5250000953674316
1599503968.2960603,31,-3.0088236331939697
1599504813.0681062,32,-2.602325677871704
1599505645.649165,33,-2.2142856121063232
1599506476.5749931,34,-4.4030303955078125
1599507332.7634358,35,-6.157142639160156
1599508181.0118172,36,-3.755000114440918
1599509046.033673,37,-4.061403274536133
1599509903.2203276,38,-5.202438831329346
1599510755.8319485,39,-1.4509804248809814
1599511600.338935,40,-5.889285564422607
1599512451.7678294,41,-2.9315788745880127
1599513307.3760965,42,-2.609677314758301
1599514158.7295675,43,-2.572413682937622
1599515010.8937356,44,-2.9184210300445557
1599515883.1438792,45,-2.757446765899658
1599516747.2331326,46,-2.4878787994384766
1599517624.5840235,47,-1.8098039627075195
1599518507.4123693,48,-4.242222309112549
1599519389.483532,49,-2.582758665084839
1599520279.496464,50,-2.3333332538604736
1599521157.9507945,51,-5.107316970825195
1599522024.2949643,52,-2.8395349979400635
1599522876.0582578,53,-4.071052551269531
1599523718.324196,54,-2.8275861740112305
1599524574.8634775,55,0.014999999664723873
1599525424.404933,56,-2.9432432651519775
1599526278.2739582,57,-4.789999961853027
1599527146.888159,58,-3.4189188480377197
1599527999.4668715,59,-1.665217399597168
1599528846.4287863,60,-4.755555629730225
1599529683.422791,61,-3.7382352352142334
1599530545.346268,62,-5.228888988494873
1599531401.8720207,63,-4.595555782318115
1599532257.4857526,64,-2.9358973503112793
1599533118.434418,65,-1.7632652521133423
1599533974.6177168,66,-2.4448275566101074
1599534832.6788256,67,-3.034883737564087
1599535685.7947128,68,-3.8955554962158203
1599536532.1461198,69,-7.010000228881836
1599537393.1535373,70,0.30000001192092896
1599538262.890804,71,-2.7666666507720947
1599539115.6083927,72,-2.8880951404571533
1599539953.0009696,73,-3.3657143115997314
1599540794.4277256,74,-4.672916889190674
1599541624.674267,75,-2.4000000953674316
1599542481.8094535,76,-3.268965482711792
1599543326.1461637,77,-4.217021465301514
1599544170.1821527,78,-4.58863639831543
1599545018.0795414,79,-2.671428680419922
1599545868.5099745,80,-3.57608699798584
1599546714.7753935,81,-3.4054055213928223
1599547577.873417,82,-2.3263158798217773
1599548425.4962244,83,-4.0920000076293945
1599549268.658568,84,-3.5290322303771973
1599550107.7111862,85,-5.84499979019165
1599550942.1381109,86,-1.7791666984558105
1599551787.783543,87,-2.4129629135131836
1599552631.7469678,88,-3.366666555404663
1599553468.9021297,89,-1.7127659320831299
1599554302.437986,90,-2.9146342277526855
1599555132.0260875,91,-2.0704545974731445
1599555957.168217,92,-5.0619049072265625
1599556791.4618404,93,-3.006382942199707
1599557638.4450336,94,-1.085714340209961
1599558455.6179903,95,-5.694285869598389
1599559301.0290818,96,-2.0512821674346924
1599560139.3796787,97,-3.808000087738037
1599560985.255747,98,-2.0877552032470703
1599561823.7406988,99,-1.013157844543457
1599562647.6551156,100,-3.4166667461395264
