Wall time,Step,Value
1599477156.8127646,0,-6.895833492279053
1599477769.6365805,1,-7.7272725105285645
1599478389.9658718,2,-5.395349025726318
1599479005.6956306,3,-6.4679999351501465
1599479614.4813132,4,-4.455555438995361
1599480230.720075,5,-6.179999828338623
1599480850.0834017,6,-8.559523582458496
1599481478.2613654,7,-6.730769157409668
1599482100.838506,8,-6.703225612640381
1599482723.5155716,9,-4.339534759521484
1599483347.6430187,10,-4.695652008056641
1599483969.033659,11,-4.959523677825928
1599484587.506514,12,-4.635135173797607
1599485204.9174094,13,-4.670000076293945
1599485816.7950776,14,-4.731578826904297
1599486427.795234,15,-4.252500057220459
1599487032.03516,16,-2.972093105316162
1599487629.63574,17,-3.6388888359069824
1599488244.8099597,18,-2.808333396911621
1599488844.7171695,19,-5.4268293380737305
1599489441.5648859,20,-4.778947353363037
1599490039.3207676,21,-1.4160000085830688
1599490639.448344,22,-4.525000095367432
1599491235.34649,23,-3.90625
1599491836.2814658,24,-4.599999904632568
1599492429.800203,25,-2.8363635540008545
1599493019.7718809,26,-2.7461538314819336
1599493623.6943045,27,-4.355555534362793
1599494224.2650342,28,-5.462162017822266
1599494821.3034348,29,-3.6777777671813965
1599495410.3187442,30,-5.04594612121582
1599496021.258929,31,-1.8320000171661377
1599496614.836893,32,-0.8714285492897034
1599497204.8253353,33,-3.200000047683716
1599497805.8648138,34,-0.817307710647583
1599498413.570262,35,-2.082857131958008
1599499014.172641,36,-3.1268293857574463
1599499612.469614,37,-3.088235378265381
1599500209.194181,38,-5.880000114440918
1599500788.068179,39,-0.3906976878643036
1599501379.807639,40,-4.691891670227051
1599501977.7055783,41,-4.580851078033447
1599502571.0928726,42,-1.8323529958724976
1599503163.2822993,43,-3.694999933242798
1599503742.9005966,44,-2.8904762268066406
1599504327.2988148,45,-3.880000114440918
1599504908.455468,46,-4.082353115081787
1599505490.0536544,47,-4.09512186050415
1599506085.3317719,48,-4.532557964324951
1599506674.701528,49,-1.9115384817123413
1599507258.3933773,50,-2.5042552947998047
1599507841.3306587,51,-4.296000003814697
1599508426.4522212,52,-3.7571427822113037
1599509007.2458222,53,-2.4891891479492188
1599509590.1680453,54,-2.2645833492279053
1599510183.9123173,55,-4.464705944061279
1599510765.539356,56,-0.8354838490486145
1599511347.6105628,57,-2.2727272510528564
1599511926.232798,58,-2.8102564811706543
1599512517.366841,59,-1.3771929740905762
1599513093.8955345,60,-2.299999952316284
1599513679.0221655,61,-2.890566110610962
1599514258.717217,62,-2.7714285850524902
1599514841.8060317,63,-3.343902349472046
1599515438.0811973,64,-1.7416666746139526
1599516010.3214564,65,-4.236734867095947
1599516578.278122,66,-0.9032257795333862
1599517173.0569942,67,-3.480487823486328
1599517759.7541592,68,-1.0324324369430542
1599518330.7351682,69,-4.824999809265137
1599518920.519532,70,-2.696296215057373
1599519525.7050474,71,-4.062222003936768
1599520114.1593516,72,-4.03636360168457
1599520684.405179,73,-1.9166666269302368
1599521260.1466882,74,-1.5
1599521845.8743372,75,-3.5742857456207275
1599522432.9343374,76,-1.4731707572937012
1599523016.8376458,77,-2.1473684310913086
1599523599.68474,78,-4.178260803222656
1599524187.764308,79,-4.76808500289917
1599524773.2661488,80,-3.682857036590576
1599525355.9737997,81,-0.7685714364051819
1599525944.5045152,82,-4.800000190734863
1599526525.0839713,83,-5.103703498840332
1599527101.6570678,84,0.2760869562625885
1599527685.5273762,85,-3.0214285850524902
1599528262.0980966,86,-2.8415093421936035
1599528844.5830944,87,-3.0137929916381836
1599529435.0317445,88,-2.608928680419922
1599530029.8103964,89,-1.8857142925262451
1599530614.6866677,90,-2.961111068725586
1599531193.6872773,91,-2.4749999046325684
1599531775.2437654,92,-2.752631664276123
1599532364.670289,93,-2.1157894134521484
1599532964.909646,94,0.0886363610625267
1599533544.9971745,95,-2.5171427726745605
1599534132.4964528,96,-2.489473581314087
1599534727.5626059,97,-2.700000047683716
1599535304.4855504,98,-3.3606059551239014
1599535766.8852816,99,-4.333333492279053
1599536123.3653562,100,-3.2071428298950195
