Wall time,Step,Value
1599477143.088128,0,-6.8575758934021
1599477751.7004306,1,-6.787499904632568
1599478367.9519172,2,-8.219148635864258
1599478979.0512586,3,-6.794117450714111
1599479582.2977078,4,-6.337931156158447
1599480187.8388312,5,-7.690908908843994
1599480798.7115195,6,-6.5428571701049805
1599481415.9580698,7,-4.5
1599482033.30807,8,-4.455555438995361
1599482639.1236234,9,-5.41034460067749
1599483245.1658404,10,-5.604650974273682
1599483856.4628026,11,-4.701960563659668
1599484455.9162164,12,-3.2571427822113037
1599485063.3215504,13,-2.6583333015441895
1599485680.5101156,14,-5.679411888122559
1599486291.350163,15,-5.89722204208374
1599486892.7648487,16,-3.8307693004608154
1599487500.7817156,17,-3.369999885559082
1599488101.3731203,18,-4.785294055938721
1599488709.7768297,19,-2.113725423812866
1599489308.8331661,20,-3.4800000190734863
1599489924.210609,21,-2.8617022037506104
1599490535.2712076,22,-4.089130401611328
1599491142.824882,23,-0.365217387676239
1599491733.5715284,24,-3.682499885559082
1599492316.697803,25,-6.559999942779541
1599492899.8639774,26,-2.802438974380493
1599493492.7733657,27,-2.851351261138916
1599494093.3239846,28,-1.6888889074325562
1599494682.204322,29,-5.612820625305176
1599495272.3838696,30,-4.27142858505249
1599495856.8034618,31,-3.762500047683716
1599496442.1193674,32,-3.512765884399414
1599497026.248368,33,-3.0512821674346924
1599497622.7195113,34,-3.430555582046509
1599498224.3884404,35,-3.7139534950256348
1599498814.6177204,36,-2.4627907276153564
1599499413.7249112,37,-3.9177777767181396
1599500007.6088536,38,-4.730952262878418
1599500596.1176114,39,-4.0970587730407715
1599501188.284641,40,-2.5176470279693604
1599501771.8167377,41,-2.590909004211426
1599502360.597273,42,-3.140000104904175
1599502952.8404047,43,-3.8526315689086914
1599503543.057606,44,-2.066666603088379
1599504134.462438,45,-4.53249979019165
1599504722.0879517,46,-3.8975000381469727
1599505307.8507526,47,-4.442500114440918
1599505897.7919638,48,-5.512244701385498
1599506476.6903958,49,-0.9654545187950134
1599507057.910759,50,-2.3440001010894775
1599507637.9838197,51,-4.111111164093018
1599508218.242601,52,-2.3473684787750244
1599508790.6952832,53,-2.829411745071411
1599509363.6221201,54,-4.965116500854492
1599509947.807316,55,-1.6733332872390747
1599510521.3554265,56,-3.3740739822387695
1599511103.8647323,57,-0.3682926893234253
1599511689.4970672,58,-2.088371992111206
1599512279.5163171,59,-3.5450000762939453
1599512856.9369502,60,-2.25
1599513441.824172,61,-2.752941131591797
1599514019.0716627,62,-3.938235282897949
1599514594.9165142,63,-1.6130434274673462
1599515181.2304409,64,-5.5
1599515773.638393,65,-3.8529412746429443
1599516367.3958933,66,-0.5199999809265137
1599516946.653824,67,-0.6527777910232544
1599517531.8013868,68,-4.17714262008667
1599518123.7607112,69,-2.4666666984558105
1599518700.2225618,70,-3.8523809909820557
1599519280.1864743,71,-3.331818103790283
1599519865.3389146,72,-3.2720930576324463
1599520456.8627968,73,-1.6807692050933838
1599521049.3980212,74,-2.7676470279693604
1599521632.2942421,75,-3.747826099395752
1599522230.1571584,76,-2.1500000953674316
1599522829.1640258,77,-1.921276569366455
1599523420.7389245,78,-4.441860675811768
1599524009.4090595,79,-2.956756830215454
1599524599.9126868,80,-2.7838709354400635
1599525199.3180466,81,-3.0280001163482666
1599525788.0876615,82,-2.5956521034240723
1599526386.2440426,83,-2.6119048595428467
1599526969.9520922,84,-1.9527777433395386
1599527560.3243535,85,-4.428301811218262
1599528146.750343,86,-2.0810811519622803
1599528722.5690684,87,-1.0342856645584106
1599529306.1936414,88,-3.9119999408721924
1599529892.8624747,89,-5.278571605682373
1599530475.7627814,90,-2.2733333110809326
1599531053.6397727,91,-1.4479999542236328
1599531632.7493854,92,-3.2634146213531494
1599532204.3408144,93,-6.699999809265137
1599532793.510692,94,-4.382857322692871
1599533386.5790522,95,-3.0860464572906494
1599533960.626922,96,-3.954545497894287
1599534541.9902284,97,-2.6769230365753174
1599535118.1903734,98,-2.6764705181121826
1599535666.079647,99,-2.3465116024017334
1599536115.177492,100,-2.6677420139312744
