Wall time,Step,Value
1599477151.9448197,0,-7.5217390060424805
1599477757.2099142,1,-7.042553424835205
1599478358.634332,2,-6.8684210777282715
1599478954.2459161,3,-7.588889122009277
1599479543.5133739,4,-5.805882453918457
1599480142.2473881,5,-6.652631759643555
1599480741.7574732,6,-8.369767189025879
1599481339.4779673,7,-6.19487190246582
1599481944.7750764,8,-6.419047832489014
1599482540.8130395,9,-4.40256404876709
1599483133.600113,10,-4.704651355743408
1599483726.4115603,11,-5.434999942779541
1599484316.7437975,12,-4.8807692527771
1599484917.3021932,13,-5.240740776062012
1599485519.7716293,14,-5.077777862548828
1599486111.8487854,15,-3.7699999809265137
1599486692.4480655,16,-4.780952453613281
1599487279.7433922,17,-2.0794870853424072
1599487870.1132393,18,-2.8523809909820557
1599488452.3677945,19,-4.511111259460449
1599489036.8349717,20,-4.827272891998291
1599489638.0454264,21,-4.763043403625488
1599490220.3936412,22,-4.525640964508057
1599490809.4621472,23,-5.0714287757873535
1599491397.146116,24,-3.528571367263794
1599491997.9061923,25,-4.108889102935791
1599492601.3346617,26,-3.450000047683716
1599493198.9343472,27,-2.7068965435028076
1599493795.6613007,28,-1.9880000352859497
1599494395.3529656,29,-2.898113250732422
1599494993.0520005,30,-3.8372092247009277
1599495601.1272206,31,-3.084848403930664
1599496209.1336565,32,-3.7324323654174805
1599496809.5757768,33,-6.045714378356934
1599497414.7388723,34,-5.12954568862915
1599498018.6509285,35,-3.23421049118042
1599498615.5904205,36,-2.939393997192383
1599499207.933554,37,-3.9314286708831787
1599499806.9711142,38,-3.700000047683716
1599500386.7296515,39,-0.9419354796409607
1599500976.4986372,40,-4.720512866973877
1599501570.9020154,41,-0.9469387531280518
1599502160.6341622,42,-4.445945739746094
1599502742.540895,43,-3.196969747543335
1599503316.5680315,44,-2.9896552562713623
1599503901.961656,45,-3.9069766998291016
1599504487.513363,46,-3.4861111640930176
1599505070.7839932,47,-3.9593749046325684
1599505666.9675076,48,-1.9954545497894287
1599506255.874122,49,-3.6794872283935547
1599506842.5576656,50,-1.162500023841858
1599507431.5549855,51,-1.7178571224212646
1599508019.8745856,52,-5.441999912261963
1599508608.1019142,53,-8.310525894165039
1599509194.8570883,54,-1.5191489458084106
1599509787.9819794,55,-4.171739101409912
1599510370.9552917,56,-5.504878044128418
1599510957.920439,57,-3.4066667556762695
1599511553.6885996,58,-3.1145832538604736
1599512139.2463188,59,-4.287179470062256
1599512725.399497,60,-4.905714511871338
1599513318.3000805,61,-2.0171427726745605
1599513907.692423,62,-2.3935484886169434
1599514507.1173465,63,-5.182608604431152
1599515094.0062792,64,-3.474074125289917
1599515678.6541479,65,-3.9749999046325684
1599516243.232183,66,-4.166666507720947
1599516828.5208597,67,-2.829545497894287
1599517416.74455,68,-4.012820720672607
1599517977.7175741,69,-2.0
1599518559.3691978,70,-3.325714349746704
1599519151.4435923,71,-2.7173912525177
1599519747.260575,72,-3.457575798034668
1599520320.386858,73,-2.4408164024353027
1599520887.0993378,74,-3.5166666507720947
1599521464.1570034,75,-2.4939393997192383
1599522038.9319968,76,-5.132352828979492
1599522612.5411012,77,-1.7565217018127441
1599523199.6268423,78,-3.4743590354919434
1599523781.9374056,79,-3.3523809909820557
1599524370.1322753,80,-1.2717949151992798
1599524944.8579166,81,-2.9749999046325684
1599525530.7265494,82,-4.2292680740356445
1599526100.6562636,83,-1.5838710069656372
1599526676.8716397,84,-2.747727155685425
1599527262.882245,85,-3.0526316165924072
1599527853.514858,86,-3.1410255432128906
1599528433.5764482,87,-4.2727274894714355
1599529024.3039234,88,-3.4514286518096924
1599529610.743776,89,-2.509999990463257
1599530201.2220135,90,-2.4040000438690186
1599530785.1668715,91,-3.769230842590332
1599531376.3912494,92,-2.8611111640930176
1599531967.9431763,93,-3.7846152782440186
1599532572.6698499,94,-2.062162160873413
1599533164.4244728,95,-3.9311110973358154
1599533751.9159255,96,-0.550000011920929
1599534342.4321873,97,-1.9117647409439087
1599534923.9682596,98,-3.2512195110321045
1599535480.981823,99,-3.7807693481445312
1599535925.0052848,100,-2.0485713481903076
