Wall time,Step,Value
1599477144.3017552,0,-7.0
1599477739.202816,1,-7.65675687789917
1599478338.2873409,2,-6.565714359283447
1599478933.56499,3,-4.7076921463012695
1599479526.3720667,4,-8.763636589050293
1599480120.545478,5,-7.776666641235352
1599480720.3377802,6,-7.172727108001709
1599481308.2462788,7,-6.538095474243164
1599481900.9720886,8,-6.387754917144775
1599482485.7950697,9,-3.854285717010498
1599483072.7755446,10,-4.182499885559082
1599483660.1124268,11,-5.23421049118042
1599484247.6247184,12,-6.521874904632568
1599484831.8359628,13,-3.7820513248443604
1599485417.7629566,14,-5.648275852203369
1599485999.009925,15,-5.561764717102051
1599486575.24607,16,-5.078571319580078
1599487148.1307714,17,-2.6064515113830566
1599487725.7594857,18,-2.262500047683716
1599488299.8153644,19,-5.175510406494141
1599488876.6892874,20,-4.059523582458496
1599489458.1748004,21,-4.285366058349609
1599490032.1333098,22,-3.876923084259033
1599490616.2245688,23,-1.962499976158142
1599491191.7826438,24,-4.082353115081787
1599491772.6702492,25,-1.1749999523162842
1599492369.6345122,26,-3.69777774810791
1599492964.296002,27,-5.219444274902344
1599493555.5434859,28,-3.8026316165924072
1599494147.6740813,29,-2.53947377204895
1599494745.3388295,30,-2.8789472579956055
1599495351.3887255,31,-2.9177777767181396
1599495950.500508,32,-1.4270833730697632
1599496538.6853216,33,-2.8270270824432373
1599497137.6983619,34,-3.937142848968506
1599497732.9463665,35,-3.661764621734619
1599498324.8983188,36,-3.009999990463257
1599498919.58378,37,-5.151724338531494
1599499509.3691125,38,-1.7722222805023193
1599500096.1514502,39,-4.887499809265137
1599500694.2122474,40,-1.056249976158142
1599501287.2233872,41,-3.0
1599501883.834956,42,-3.6095237731933594
1599502473.9893212,43,-3.1255319118499756
1599503069.1416752,44,-1.6833332777023315
1599503650.6498384,45,-4.435714244842529
1599504239.7575626,46,-0.05666666850447655
1599504825.7587965,47,-4.27222204208374
1599505418.8767116,48,-4.9425530433654785
1599506005.5837343,49,-3.8604166507720947
1599506596.898647,50,-1.9444444179534912
1599507182.7698805,51,-2.509756088256836
1599507755.5586472,52,-2.7249999046325684
1599508331.2536922,53,-1.5305556058883667
1599508909.60549,54,-3.8789472579956055
1599509502.9650817,55,-5.809999942779541
1599510076.337527,56,-2.3947367668151855
1599510659.741806,57,-3.9733333587646484
1599511244.8941426,58,-3.897674322128296
1599511832.4201257,59,-1.9657143354415894
1599512412.2631664,60,-5.489189147949219
1599512981.0723903,61,-4.442105293273926
1599513551.6168158,62,-2.390909194946289
1599514138.3100977,63,-4.547222137451172
1599514723.404644,64,-2.786956548690796
1599515285.0312905,65,-3.5545454025268555
1599515845.8173752,66,-2.127450942993164
1599516413.4352682,67,-4.296428680419922
1599517000.071561,68,-3.4418604373931885
1599517574.1815913,69,-1.377419352531433
1599518152.2366798,70,-1.191304326057434
1599518731.2912285,71,-4.9588236808776855
1599519313.2376018,72,-3.5428571701049805
1599519884.2662647,73,-2.9814815521240234
1599520450.9442754,74,-2.5714285373687744
1599521017.0012693,75,-7.422222137451172
1599521591.5104902,76,-2.4600000381469727
1599522155.5665743,77,-4.851351261138916
1599522715.9513757,78,-7.284615516662598
1599523283.228186,79,-2.9793102741241455
1599523866.8853762,80,-3.953488349914551
1599524445.3274627,81,-3.170212745666504
1599525029.5511656,82,-2.21052622795105
1599525605.6457992,83,-3.781081199645996
1599526173.215224,84,-1.1699999570846558
1599526750.3698041,85,-1.2947368621826172
1599527321.2633564,86,-4.023684024810791
1599527897.9912758,87,-2.4533333778381348
1599528483.8849592,88,-1.76285719871521
1599529071.0716407,89,-3.4488887786865234
1599529655.5193348,90,-3.0649123191833496
1599530235.7843614,91,-2.255000114440918
1599530826.2288995,92,-4.7076921463012695
1599531413.2224755,93,-2.825000047683716
1599532014.402922,94,0.31702128052711487
1599532590.440054,95,-5.179999828338623
1599533170.3571825,96,-3.9191489219665527
1599533758.523667,97,-3.1953487396240234
1599534346.662692,98,-2.8519999980926514
1599534930.7189634,99,-2.546875
1599535490.846408,100,-2.674999952316284
