Wall time,Step,Value
1599477145.1033397,0,-4.340909004211426
1599477764.4048305,1,-5.803999900817871
1599478386.406465,2,-6.527083396911621
1599479000.57533,3,-7.19523811340332
1599479616.1182067,4,-6.150000095367432
1599480230.1559758,5,-4.762499809265137
1599480844.3873897,6,-5.8808512687683105
1599481458.3448627,7,-5.012820720672607
1599482078.6066527,8,-5.946000099182129
1599482693.831322,9,-5.960975646972656
1599483316.636201,10,-5.748780250549316
1599483933.0283034,11,-5.444117546081543
1599484549.9606717,12,-5.735000133514404
1599485165.8163018,13,-6.419444561004639
1599485782.4195914,14,-3.829411745071411
1599486399.9395256,15,-4.581080913543701
1599487018.5466244,16,-3.4814815521240234
1599487636.2484095,17,-3.0333333015441895
1599488255.72686,18,-4.107692241668701
1599488866.5567408,19,-4.773684024810791
1599489478.234699,20,-3.4911763668060303
1599490094.8960671,21,-3.5416667461395264
1599490710.5021312,22,-2.98799991607666
1599491329.7000203,23,-5.00697660446167
1599491931.569934,24,-5.489473819732666
1599492528.6827252,25,-5.832432270050049
1599493124.2802777,26,-3.9194445610046387
1599493729.9819443,27,-3.1818182468414307
1599494333.2507293,28,-6.394444465637207
1599494928.7625513,29,-4.647368431091309
1599495517.6873877,30,-3.8888888359069824
1599496115.33702,31,-4.576315879821777
1599496710.9409554,32,-1.7367347478866577
1599497297.0849118,33,-4.884615421295166
1599497892.5543244,34,-0.9205882549285889
1599498500.0254028,35,-4.876923084259033
1599499098.5518138,36,-2.1655173301696777
1599499696.5653322,37,-8.725000381469727
1599500298.2129204,38,-3.3487179279327393
1599500889.1059747,39,-6.888235092163086
1599501484.6337314,40,-4.669696807861328
1599502072.3677423,41,-2.3065216541290283
1599502669.0420744,42,-5.490624904632568
1599503270.9480348,43,-2.2791666984558105
1599503859.555384,44,-1.53125
1599504446.6432378,45,-3.2179486751556396
1599505023.1934083,46,-3.6615383625030518
1599505607.4830484,47,-2.1909091472625732
1599506197.1230462,48,-1.0228571891784668
1599506782.2872064,49,-2.7756097316741943
1599507369.5875528,50,-3.117021322250366
1599507952.5210195,51,-0.552173912525177
1599508535.4453645,52,-4.855555534362793
1599509120.9842288,53,-5.050000190734863
1599509698.0299208,54,-4.1270270347595215
1599510285.5751576,55,-3.8924999237060547
1599510867.870818,56,-8.352380752563477
1599511458.7133114,57,-4.83863639831543
1599512045.19713,58,-3.364102602005005
1599512636.8789706,59,-2.5829267501831055
1599513229.8144882,60,-3.2906975746154785
1599513823.1343617,61,-2.791304349899292
1599514410.6026032,62,-4.320000171661377
1599515001.5484152,63,-1.6583333015441895
1599515594.4483097,64,-3.619999885559082
1599516183.7306461,65,-3.5470588207244873
1599516770.0713873,66,-2.8672726154327393
1599517353.435985,67,0.3777777850627899
1599517953.9256055,68,-3.4394736289978027
1599518535.5555325,69,-3.299999952316284
1599519120.3823545,70,-3.3459458351135254
1599519704.302851,71,-4.083333492279053
1599520300.5872343,72,-4.505882263183594
1599520893.7515874,73,-1.206451654434204
1599521474.9184515,74,-4.321052551269531
1599522058.377593,75,-2.9906249046325684
1599522654.59184,76,-2.57608699798584
1599523232.4080951,77,-3.2948718070983887
1599523813.2161808,78,-1.6459459066390991
1599524384.2814174,79,-4.05555534362793
1599524979.6937408,80,-2.7952380180358887
1599525565.9502597,81,-3.261538505554199
1599526161.860517,82,-2.77647066116333
1599526753.0388443,83,-1.5885714292526245
1599527328.806985,84,-3.1534883975982666
1599527910.197756,85,-3.211627960205078
1599528487.4048767,86,-3.3524999618530273
1599529066.3381667,87,-1.8674999475479126
1599529648.2222862,88,-3.0512821674346924
1599530237.7539203,89,-3.4352941513061523
1599530818.5319672,90,-2.6813952922821045
1599531395.743895,91,0.7200000286102295
1599531971.6092315,92,-2.722222328186035
1599532555.063064,93,-6.52142858505249
1599533153.214151,94,-2.848936080932617
1599533737.385831,95,-1.006666660308838
1599534312.5518196,96,-0.9153845906257629
1599534890.3999443,97,-1.4901961088180542
1599535460.5653841,98,-2.144897937774658
1599535954.9887834,99,-2.1729166507720947
1599536284.6475003,100,-3.7705881595611572
