Wall time,Step,Value
1599477144.5182922,0,-5.026315689086914
1599477758.2594821,1,-6.564705848693848
1599478368.55201,2,-4.8578948974609375
1599478984.7956047,3,-7.885714054107666
1599479596.4545162,4,-7.755882263183594
1599480208.5971475,5,-3.1114284992218018
1599480816.864392,6,-7.114285945892334
1599481423.9274015,7,-8.75882339477539
1599482040.0532985,8,-7.228947162628174
1599482649.5330567,9,-4.244185924530029
1599483263.5622177,10,-4.702127456665039
1599483868.08916,11,-3.4749999046325684
1599484478.2008264,12,-2.71875
1599485089.3122833,13,-4.037499904632568
1599485701.0070162,14,-4.602173805236816
1599486315.9001148,15,-5.990322589874268
1599486929.4891639,16,-4.393750190734863
1599487534.9404793,17,-2.1891891956329346
1599488138.6692271,18,-3.671428680419922
1599488742.5901802,19,-5.2071428298950195
1599489353.5334368,20,-2.865217447280884
1599489958.1516361,21,-6.150000095367432
1599490567.991463,22,-2.7133333683013916
1599491171.1959386,23,-5.922727108001709
1599491766.3068323,24,-5.3947367668151855
1599492353.8670316,25,-5.295000076293945
1599492949.8823614,26,-4.848979473114014
1599493540.7579722,27,-2.9448275566101074
1599494130.3391855,28,-4.842857360839844
1599494711.9954462,29,-5.065384387969971
1599495294.1655095,30,-5.00697660446167
1599495878.5282555,31,-3.0387754440307617
1599496467.1129987,32,-3.819512128829956
1599497047.915713,33,-1.695918321609497
1599497637.5428073,34,-4.658823490142822
1599498230.5988114,35,-7.914285659790039
1599498815.8335838,36,-3.079310417175293
1599499413.086061,37,-3.3529412746429443
1599500004.2658727,38,-4.505263328552246
1599500594.344984,39,-4.09743595123291
1599501185.1935408,40,-4.0651164054870605
1599501762.8194425,41,-5.032432556152344
1599502349.2829657,42,-3.7731707096099854
1599502932.390165,43,-2.7200000286102295
1599503524.3798215,44,-1.9153846502304077
1599504103.8596535,45,-3.0789473056793213
1599504682.6114206,46,-4.113157749176025
1599505264.7596977,47,-3.492682933807373
1599505851.998154,48,1.0081632137298584
1599506431.7939496,49,-2.5145833492279053
1599507021.232393,50,-3.3977272510528564
1599507607.9196553,51,-0.9959183931350708
1599508193.6563976,52,-2.668750047683716
1599508785.0628326,53,-1.1214286088943481
1599509375.2788355,54,-2.904651165008545
1599509981.6944933,55,-2.860377311706543
1599510568.9574718,56,-3.293750047683716
1599511157.950755,57,-1.9639999866485596
1599511750.0104518,58,-3.2833333015441895
1599512337.189367,59,-2.2950000762939453
1599512929.2300537,60,-1.7775510549545288
1599513509.9808922,61,-3.0514285564422607
1599514090.8849368,62,-4.087804794311523
1599514671.0672932,63,-3.069767475128174
1599515256.7714703,64,-4.832258224487305
1599515842.5197904,65,-1.8756756782531738
1599516428.5274277,66,-3.430769205093384
1599517007.0989382,67,-2.4000000953674316
1599517586.2515132,68,-2.133333444595337
1599518160.5479887,69,-3.7093749046325684
1599518750.0090344,70,-3.3289473056793213
1599519336.3201337,71,-2.346341371536255
1599519927.0783556,72,-1.3380000591278076
1599520529.6875892,73,-0.637837827205658
1599521117.4504743,74,-2.9294116497039795
1599521699.0474794,75,-4.43055534362793
1599522295.02643,76,-3.549999952316284
1599522879.6345491,77,-3.67380952835083
1599523459.1911092,78,-2.5924999713897705
1599524041.50542,79,-5.411764621734619
1599524629.4898822,80,-2.5842106342315674
1599525203.4981852,81,-3.007317066192627
1599525800.6415691,82,-2.2807693481445312
1599526382.378138,83,-5.529268264770508
1599526964.4173238,84,-2.2432432174682617
1599527547.4425526,85,-3.25
1599528128.6388185,86,-3.0581395626068115
1599528712.3556323,87,-2.231428623199463
1599529294.963345,88,-3.702173948287964
1599529873.7589343,89,-5.539999961853027
1599530449.3215094,90,-2.952380895614624
1599531027.2888381,91,-3.121875047683716
1599531605.6247394,92,-0.3787234127521515
1599532179.4438915,93,-1.5750000476837158
1599532764.234573,94,-2.299999952316284
1599533336.80883,95,-1.7108107805252075
1599533908.5438817,96,-4.577499866485596
1599534485.2854145,97,-1.3037736415863037
1599535068.2935588,98,-4.9076924324035645
1599535616.3301878,99,-4.009302139282227
1599536081.8272378,100,-3.915384531021118
