Wall time,Step,Value
1611064239.1523626,0,-4.199999809265137
1611065071.3962133,50,-6.686110973358154
1611065930.9854088,100,-5.7468085289001465
1611066786.699665,150,-4.735483646392822
1611067650.7054443,200,-5.784999847412109
1611068526.739128,250,-5.5
1611069397.2055287,300,-7.185714244842529
1611070256.6462343,350,-6.838235378265381
1611071119.687026,400,-4.5837836265563965
1611071988.6753502,450,-6.1307692527771
1611072865.6826324,500,-6.004255294799805
1611073740.0025635,550,-5.238095283508301
1611074611.6792884,600,-4.010344982147217
1611075484.4883592,650,-7.628889083862305
1611076374.2092013,700,-5.278947353363037
1611077248.49296,750,-4.864285945892334
1611078126.6826847,800,-6.384210586547852
1611079004.7360635,850,-5.685294151306152
1611079873.7751095,900,-8.34000015258789
1611080754.6558273,950,-4.386363506317139
1611081636.8189025,1000,-4.69655179977417
1611082510.5666974,1050,-7.525000095367432
1611083391.992866,1100,-8.407691955566406
1611084263.3903039,1150,-4.5239129066467285
1611085133.8504362,1200,-6.0756754875183105
1611086029.2492843,1250,-4.717777729034424
1611086919.0103745,1300,-4.495744705200195
1611087809.0595767,1350,-6.392857074737549
1611088702.6261575,1400,-6.411110877990723
1611089595.2880135,1450,-5.043478488922119
1611090482.6746511,1500,-4.689655303955078
1611091365.552026,1550,-7.789473533630371
1611092278.2626045,1600,-3.909090995788574
1611093155.16785,1650,-5.484848499298096
1611094032.4498718,1700,-4.4146342277526855
1611094931.2896214,1750,-6.029411792755127
1611095812.9744751,1800,-5.681579113006592
1611096717.214304,1850,-5.9030303955078125
1611097607.0077271,1900,-6.429999828338623
1611098517.6080742,1950,-4.351219654083252
1611099410.1247828,2000,-5.028571605682373
1611100301.268159,2050,-5.04878044128418
1611101191.280478,2100,-5.505714416503906
1611102081.2331784,2150,-3.58695650100708
1611102970.4861321,2200,-8.6875
1611103881.7652416,2250,-5.5714287757873535
1611104767.4570498,2300,-8.541666984558105
1611105657.772594,2350,-4.725490093231201
1611106529.0857987,2400,-5.415094375610352
1611107407.8031356,2450,-4.5471696853637695
1611108291.6314852,2500,-6.099999904632568
1611109180.9361408,2550,-8.894737243652344
1611110053.4082208,2600,-6.54054069519043
1611110949.2282245,2650,-4.9772725105285645
1611111848.5776765,2700,-8.949999809265137
1611112740.7974753,2750,-8.600000381469727
1611113638.050181,2800,-7.326315879821777
1611114532.1502213,2850,-5.4292683601379395
1611115432.5827715,2900,-2.4813952445983887
1611116322.6820276,2950,-4.7419352531433105
1611117225.6031036,3000,-3.4634146690368652
1611118132.4180028,3050,-4.468085289001465
1611119038.5981057,3100,-4.837209224700928
1611119938.6564562,3150,-6.625
1611120836.7361813,3200,-4.288888931274414
1611121738.2072752,3250,-5.134042739868164
1611122616.8155315,3300,-2.9037036895751953
1611123517.1144757,3350,-6.134042739868164
1611124433.47697,3400,-2.91304349899292
1611125334.1033869,3450,-3.5729730129241943
1611126205.914026,3500,-4.008823394775391
1611127093.8815937,3550,-5.960000038146973
1611127988.0277023,3600,-6.7228569984436035
1611128870.4505696,3650,-7.163636207580566
1611129750.4521055,3700,-5.59499979019165
1611130624.204334,3750,-5.661904811859131
1611131506.585211,3800,-1.6857142448425293
1611132390.1553955,3850,-3.9928572177886963
1611133294.018742,3900,-3.538461446762085
1611134197.7589295,3950,-4.697958946228027
1611135087.755088,4000,-3.612903118133545
1611135976.2677338,4050,-5.34375
1611136883.151291,4100,-5.475925922393799
1611137787.421912,4150,-5.047618865966797
1611138698.4268203,4200,-3.9431371688842773
1611139598.595428,4250,-5.454347610473633
1611140488.5788577,4300,-4.846153736114502
1611141384.8500423,4350,-5.751111030578613
1611142284.0218618,4400,-4.743589878082275
1611143186.0293937,4450,-5.077550888061523
1611144087.672616,4500,-7.666666507720947
1611144996.615824,4550,-4.371794700622559
1611145901.105233,4600,-6.8275861740112305
1611146800.8790188,4650,-5.9391303062438965
1611147697.8022928,4700,-6.497222423553467
1611148586.4800544,4750,-6.545714378356934
1611149485.9141161,4800,-4.958333492279053
1611150402.0120697,4850,-6.233333110809326
1611151308.8748355,4900,-4.889999866485596
1611152058.518294,4950,-3.0064516067504883
1611152693.7646499,5000,-6.488636493682861
