Wall time,Step,Value
1611064270.5222852,0,-4.306666851043701
1611065124.134675,50,-6.3921051025390625
1611065980.0108242,100,-6.76200008392334
1611066838.35771,150,-5.449999809265137
1611067686.7476745,200,-4.594285488128662
1611068546.2822163,250,-3.7249999046325684
1611069392.652099,300,-6.38837194442749
1611070248.8565238,350,-7.196875095367432
1611071095.1184468,400,-5.266666889190674
1611071957.567572,450,-4.783636569976807
1611072810.972629,500,-8.171428680419922
1611073663.580308,550,-4.408571243286133
1611074514.6316805,600,-6.831250190734863
1611075367.3421223,650,-5.346808433532715
1611076227.6014469,700,-5.721052646636963
1611077098.6097853,750,-4.094594478607178
1611077974.2384465,800,-5.23421049118042
1611078844.1629174,850,-5.8956522941589355
1611079717.7559555,900,-3.8019607067108154
1611080588.4535046,950,-6.2317070960998535
1611081469.932947,1000,-5.360465049743652
1611082345.5591073,1050,-5.681395530700684
1611083214.2719514,1100,-3.4454545974731445
1611084090.351007,1150,-4.956756591796875
1611084969.522727,1200,-4.021276473999023
1611085835.294653,1250,-5.354838848114014
1611086700.944407,1300,-4.078571319580078
1611087562.972554,1350,-3.950000047683716
1611088434.2276146,1400,-5.116279125213623
1611089303.8930073,1450,-5.012499809265137
1611090177.7640011,1500,-5.127659797668457
1611091048.794092,1550,-3.277083396911621
1611091909.0774722,1600,-6.275000095367432
1611092781.383188,1650,-4.248571395874023
1611093662.3802078,1700,-4.420512676239014
1611094555.0923085,1750,-5.127659797668457
1611095428.0932078,1800,-5.358139514923096
1611096293.6906018,1850,-6.113792896270752
1611097178.6638334,1900,-5.415909290313721
1611098054.3828683,1950,-4.45510196685791
1611098935.7714932,2000,-4.714285850524902
1611099818.4234142,2050,-4.545652389526367
1611100687.350043,2100,-4.833333492279053
1611101568.782387,2150,-3.7166666984558105
1611102445.0296378,2200,-5.1785712242126465
1611103324.4089916,2250,-3.3617022037506104
1611104200.7487376,2300,-5.266666889190674
1611105098.2660177,2350,-3.503225803375244
1611105981.2843595,2400,-5.375
1611106862.9267519,2450,-3.4625000953674316
1611107744.139019,2500,-3.3217391967773438
1611108622.5939116,2550,-4.716216087341309
1611109506.5773814,2600,-3.1521739959716797
1611110413.351077,2650,-5.860465049743652
1611111291.7672439,2700,-5.344827651977539
1611112163.6543784,2750,-4.628571510314941
1611113062.4801683,2800,-4.089473724365234
1611113950.5712624,2850,-3.7419354915618896
1611114849.5753953,2900,-6.4384613037109375
1611115729.6554682,2950,-5.283783912658691
1611116605.874158,3000,-6.0411763191223145
1611117475.2684124,3050,-1.9199999570846558
1611118346.5785096,3100,-5.888888835906982
1611119210.537209,3150,-5.568181991577148
1611120074.1429002,3200,-5.273684024810791
1611120938.2979684,3250,-3.763636350631714
1611121816.7264535,3300,-3.7896552085876465
1611122693.0847611,3350,-4.636363506317139
1611123560.9439929,3400,-6.536734580993652
1611124432.4104593,3450,-5.756097793579102
1611125302.5850918,3500,-4.602222442626953
1611126193.313601,3550,-6.243243217468262
1611127097.0307107,3600,-4.6972222328186035
1611127992.1577544,3650,-5.747222423553467
1611128879.0255563,3700,-5.513461589813232
1611129755.6987948,3750,-5.229729652404785
1611130649.5410602,3800,-4.679999828338623
1611131534.8933687,3850,-8.229629516601562
1611132431.3440216,3900,-5.368750095367432
1611133318.658298,3950,-3.3924999237060547
1611134198.8699317,4000,-5.181395530700684
1611135083.488668,4050,-6.021276473999023
1611135954.8836393,4100,-4.789130210876465
1611136838.106365,4150,-4.463043689727783
1611137716.0786352,4200,-5.836111068725586
1611138571.6122355,4250,-5.058823585510254
1611139433.291191,4300,-5.052083492279053
1611140313.8085294,4350,-5.29714298248291
1611141195.6570058,4400,-3.5039215087890625
1611142059.393718,4450,-4.291999816894531
1611142928.0380878,4500,-5.909090995788574
1611143785.9967642,4550,-5.4347825050354
1611144647.637029,4600,-5.243902206420898
1611145514.8175035,4650,-2.857692241668701
1611146387.219074,4700,-4.058823585510254
1611147245.492925,4750,-6.115624904632568
1611148119.2234862,4800,-5.127500057220459
1611148984.4336557,4850,-5.620689868927002
1611149845.7610066,4900,-5.270270347595215
1611150705.2241974,4950,-5.960000038146973
1611151550.194877,5000,-5.397368431091309
