Wall time,Step,Value
1600805428.7453783,0,0.0
1600806093.6944368,1,0.5813953280448914
1600806760.510607,2,1.3589743375778198
1600807423.1011965,3,1.3636363744735718
1600808089.447445,4,2.3142857551574707
1600808753.1678536,5,3.1842105388641357
1600809416.7096338,6,2.8787879943847656
1600810078.390055,7,3.125
1600810740.3857877,8,2.939393997192383
1600811402.546296,9,3.346153736114502
1600812063.6825514,10,3.5
1600812725.7002642,11,3.5142858028411865
1600813388.1137395,12,3.411764621734619
1600814049.513172,13,3.8888888359069824
1600814712.8323102,14,3.297297239303589
1600815375.345563,15,3.461538553237915
1600816035.9532979,16,3.192307710647583
1600816696.6626434,17,3.59375
1600817358.8167589,18,3.549999952316284
1600818019.0765195,19,3.451612949371338
1600818679.4890926,20,3.411764621734619
1600819340.6478813,21,3.9000000953674316
1600820000.145192,22,3.379310369491577
1600820660.0816226,23,3.4375
1600821319.9327447,24,2.78125
1600821980.7300408,25,3.066666603088379
1600822640.3043678,26,3.5806450843811035
1600823299.3813012,27,3.379310369491577
1600823960.0471706,28,3.344827651977539
1600824620.5474567,29,3.75
1600825282.033245,30,3.75
1600825942.87126,31,3.612903118133545
1600826604.4310365,32,3.7714285850524902
1600827265.9503798,33,3.903225898742676
1600827928.3809736,34,3.4390244483947754
1600828589.8691823,35,3.7096774578094482
1600829251.7945971,36,3.549999952316284
1600829912.6555023,37,3.674999952316284
1600830574.0792656,38,3.2820513248443604
1600831236.120083,39,3.305555582046509
1600831900.6601496,40,3.5
