Wall time,Step,Value
1600805480.1915174,0,0.46341463923454285
1600806145.3749416,1,0.7368420958518982
1600806810.986048,2,1.1891891956329346
1600807473.6030045,3,2.2799999713897705
1600808138.435818,4,2.558823585510254
1600808802.2679646,5,2.4814815521240234
1600809465.4837308,6,3.299999952316284
1600810125.8294704,7,3.1351351737976074
1600810786.624144,8,2.9375
1600811448.6048315,9,2.3714284896850586
1600812110.2393816,10,2.7666666507720947
1600812771.4480433,11,2.7941176891326904
1600813432.1001434,12,3.0399999618530273
1600814092.804895,13,3.4642856121063232
1600814752.936283,14,3.28125
1600815412.230709,15,3.5172414779663086
1600816070.6500347,16,3.0799999237060547
1600816729.3235092,17,3.9000000953674316
1600817389.3630366,18,3.592592477798462
1600818048.657607,19,3.269230842590332
1600818709.0457253,20,3.534883737564087
1600819369.2130058,21,4.153846263885498
1600820029.482098,22,3.8064515590667725
1600820688.0062478,23,3.633333444595337
1600821346.2830966,24,3.2666666507720947
1600822006.5244803,25,3.7419354915618896
1600822664.421428,26,3.689655065536499
1600823322.6951208,27,3.200000047683716
1600823982.5183685,28,3.379310369491577
1600824642.2980647,29,3.21875
1600825302.2885475,30,3.700000047683716
1600825962.8561728,31,3.4827585220336914
1600826622.9564998,32,3.7419354915618896
1600827282.936907,33,3.84375
1600827943.3760886,34,3.7666666507720947
1600828603.714751,35,3.7352941036224365
1600829263.9459348,36,4.210526466369629
1600829924.2085176,37,3.805555582046509
1600830583.8123417,38,3.617647171020508
1600831243.1125584,39,3.880000114440918
1600831904.2033644,40,3.7857143878936768
