Wall time,Step,Value
1604335861.7978077,0,0.0
1604339054.7725239,1,1.2702702283859253
1604342255.9339848,2,2.7142856121063232
1604345461.2810872,3,3.346153736114502
1604348678.3021438,4,3.1621620655059814
1604351886.0841026,5,3.4583332538604736
1604355089.3808181,6,3.17391300201416
1604358313.9472091,7,3.0740740299224854
1604361546.3224628,8,3.171428680419922
1604364775.417863,9,3.5199999809265137
1604368000.6617866,10,3.1724138259887695
1604371230.770699,11,3.451612949371338
1604374473.2775342,12,3.34883713722229
1604377707.1000857,13,3.0416667461395264
1604380939.7043931,14,3.3333332538604736
1604384174.9407241,15,3.7142856121063232
1604387432.1961434,16,3.4358973503112793
1604390687.9111035,17,4.115384578704834
1604393947.0868912,18,3.8965516090393066
1604397192.819714,19,4.096774101257324
1604400427.4936461,20,3.848484754562378
1604403666.6347635,21,4.0
1604406906.4351196,22,3.7857143878936768
1604410153.1926613,23,3.8965516090393066
1604413397.6233923,24,4.07692289352417
1604416645.8120918,25,3.8333332538604736
1604419896.2698793,26,3.5357143878936768
1604423150.4401083,27,3.903225898742676
1604426402.3136437,28,3.8333332538604736
1604429658.9772575,29,4.42307710647583
1604432921.7291543,30,3.5526316165924072
1604436194.1534588,31,3.769230842590332
1604439459.0995452,32,4.121212005615234
1604442727.7065823,33,3.692307710647583
1604445993.4562001,34,4.090909004211426
1604449260.6353734,35,4.108108043670654
1604452524.6422777,36,4.320000171661377
1604455793.0891926,37,3.7272727489471436
1604459056.4746413,38,3.965517282485962
1604462325.060396,39,3.9600000381469727
1604465588.788935,40,3.78125
