Wall time,Step,Value
1604335881.8848443,0,0.6052631735801697
1604339087.3109202,1,0.6052631735801697
1604342306.717373,2,1.8387097120285034
1604345512.2962646,3,2.7142856121063232
1604348727.3636665,4,3.1111111640930176
1604351942.6098273,5,2.944444417953491
1604355148.121291,6,2.8333332538604736
1604358363.1270247,7,2.909090995788574
1604361593.1433222,8,2.5833332538604736
1604364818.9881363,9,2.941176414489746
1604368046.0901372,10,3.054054021835327
1604371273.8762188,11,3.6666667461395264
1604374518.441038,12,3.3235294818878174
1604377750.1197937,13,2.875
1604380990.6990356,14,2.973684310913086
1604384218.8401344,15,4.052631378173828
1604387465.3054612,16,3.026315689086914
1604390718.7129529,17,3.8235294818878174
1604393980.9295037,18,3.3684210777282715
1604397219.245446,19,3.25
1604400457.9305449,20,3.6315789222717285
1604403698.2603552,21,3.6666667461395264
1604406943.143725,22,3.1842105388641357
1604410193.4331646,23,3.941176414489746
1604413445.7591999,24,3.8965516090393066
1604416700.0381703,25,3.4324324131011963
1604419950.595383,26,3.9600000381469727
1604423199.2591918,27,3.9000000953674316
1604426451.702511,28,3.91304349899292
1604429705.727728,29,4.130434989929199
1604432962.472836,30,3.8965516090393066
1604436225.341078,31,4.121212005615234
1604439486.5650373,32,4.111111164093018
1604442753.1209602,33,3.8181817531585693
1604446026.2293613,34,3.961538553237915
1604449294.503012,35,4.090909004211426
1604452567.1595526,36,4.095238208770752
1604455832.2973096,37,3.78947377204895
1604459099.114248,38,3.9696969985961914
1604462364.2770987,39,3.857142925262451
1604465631.9803843,40,3.548387050628662
