Wall time,Step,Value
1604335861.715597,0,0.0
1604339053.8805542,1,1.0322580337524414
1604342272.8509848,2,1.840000033378601
1604345485.6347048,3,2.799999952316284
1604348711.4649348,4,3.200000047683716
1604351927.2753708,5,3.153846263885498
1604355145.6165395,6,3.170731782913208
1604358361.782793,7,2.846153736114502
1604361591.5844905,8,3.038461446762085
1604364823.9101393,9,2.875
1604368062.5549023,10,2.9285714626312256
1604371298.1486862,11,3.3333332538604736
1604374540.4449208,12,3.7142856121063232
1604377785.4367995,13,3.307692289352417
1604381022.5440748,14,3.615384578704834
1604384268.2084353,15,3.5
1604387515.8926325,16,3.5806450843811035
1604390772.5900216,17,3.8888888359069824
1604394036.869119,18,3.53125
1604397285.5748923,19,3.9285714626312256
1604400524.979624,20,3.866666555404663
1604403761.3772492,21,3.3214285373687744
1604407005.1381016,22,3.125
1604410248.2739735,23,3.620689630508423
1604413498.3557088,24,3.653846263885498
1604416754.2372618,25,3.9166667461395264
1604420020.3280244,26,3.633333444595337
1604423282.6375332,27,3.3953487873077393
1604426544.4824905,28,4.0
1604429809.422924,29,3.5833332538604736
1604433074.2610307,30,4.1724138259887695
1604436337.7195728,31,4.0
1604439603.544817,32,3.5714285373687744
1604442869.605622,33,3.4210526943206787
1604446145.3134217,34,3.75
1604449407.4361145,35,3.620689630508423
1604452679.4368024,36,3.8709676265716553
1604455945.5999272,37,3.7666666507720947
1604459211.4523203,38,4.05555534362793
1604462467.509533,39,3.5999999046325684
1604465708.5720077,40,3.769230842590332
