Wall time,Step,Value
1589614238.6262279,0,0.1463414579629898
1589614817.0097861,1,0.3052631735801697
1589615397.069991,2,1.2290322542190552
1589615967.762952,3,1.8139535188674927
1589616538.8574078,4,3.159090995788574
1589617106.3507214,5,2.9234041690826416
1589617670.4707186,6,2.7956522464752197
1589618233.8782403,7,2.2499999046325684
1589618797.64459,8,2.13043475151062
1589619365.1431036,9,1.6333333253860474
1589619930.3456137,10,2.6200000286102295
1589620495.3163579,11,2.2833332538604736
1589621058.4039838,12,2.875
1589621623.0623078,13,2.34375
1589622185.5582592,14,3.068965435028076
1589622750.0640962,15,2.677419424057007
1589623315.2917411,16,3.2068965435028076
1589623880.458562,17,3.4827585220336914
1589624446.6021829,18,3.5
1589625012.2560222,19,3.2142856121063232
1589625576.979347,20,2.9600000381469727
1589626141.9305983,21,3.357142925262451
1589626707.941345,22,2.84375
1589627274.316367,23,3.2333333015441895
1589627841.876324,24,3.1351351737976074
1589628409.6936224,25,3.378378391265869
1589628978.4486532,26,3.5625
1589629546.412138,27,3.575675630569458
1589630114.0648658,28,3.5862069129943848
1589630682.0059648,29,3.7666666507720947
1589631252.3593388,30,3.7096774578094482
1589631821.3464618,31,3.7709676265716553
1589632390.7766018,32,3.75
1589632959.1528788,33,3.696969747543335
1589633527.7792416,34,3.6857142448425293
1589634096.5387113,35,3.638709592819214
1589634663.7644567,36,3.6571428775787354
1589635232.6634858,37,4.0
1589635799.9509163,38,3.775675630569458
1589636367.733433,39,3.78125
