Wall time,Step,Value
1589614241.8839538,0,0.0
1589614808.5361733,1,0.3897436141967773
1589615371.6822734,2,1.0717948794364929
1589615934.046361,3,2.8638298988342285
1589616495.8961315,4,2.8108108043670654
1589617058.901066,5,3.0
1589617624.0661054,6,2.7526316165924072
1589618190.4151032,7,2.942553186416626
1589618756.0314164,8,2.4102040767669678
1589619321.7640991,9,2.704877996444702
1589619886.1212022,10,2.980000114440918
1589620451.6268513,11,2.75
1589621016.3295422,12,3.0677419662475586
1589621581.8992486,13,3.3571427822113037
1589622148.6266959,14,3.3617022037506104
1589622716.6707594,15,3.1111111640930176
1589623283.0395944,16,3.170270347595215
1589623850.684374,17,3.3390244483947754
1589624417.3309286,18,3.0357143878936768
1589624984.174978,19,3.538461446762085
1589625551.1581914,20,3.7517241954803467
1589626118.1622293,21,3.3083332538604736
1589626685.3893564,22,3.4285714626312256
1589627252.5110087,23,3.4666666984558105
1589627819.9928405,24,3.375
1589628390.0628726,25,3.1682926654815674
1589628958.5348346,26,3.500000047683716
1589629526.3267465,27,3.4594595432281494
1589630095.5635319,28,3.5517241954803467
1589630663.7494857,29,3.28947377204895
1589631232.181564,30,3.4666666984558105
1589631802.0146651,31,2.9761905670166016
1589632370.8860097,32,3.85625
1589632940.0152144,33,4.166666507720947
1589633510.184557,34,3.333333444595337
1589634080.127937,35,3.299999952316284
1589634650.8562918,36,3.5333333015441895
1589635219.8604405,37,3.7806450843811035
1589635788.2393622,38,3.5161290168762207
1589636355.8901248,39,3.7419354915618896
