Wall time,Step,Value
1608202783.3012865,0,0.6097561120986938
1608205140.806039,1,0.5
1608207481.8840942,2,0.6000000238418579
1608209819.4219043,3,0.5348837375640869
1608212154.5368865,4,0.3529411852359772
1608214471.7103794,5,0.7096773982048035
1608216793.247966,6,1.514285683631897
1608219119.8183885,7,2.5217392444610596
1608221436.0096474,8,2.170731782913208
1608223756.6869335,9,2.5945944786071777
1608226080.9090166,10,2.799999952316284
1608228404.1884718,11,2.8863637447357178
1608230735.2092247,12,2.805555582046509
1608233063.2225008,13,2.903225898742676
1608235398.3964167,14,2.7142856121063232
1608237742.4434445,15,3.1956522464752197
1608240074.1936462,16,3.375
1608242407.8169487,17,3.5714285373687744
1608244747.4092197,18,3.5151515007019043
1608247087.687314,19,3.6097559928894043
1608249427.068664,20,3.4000000953674316
1608251769.4842863,21,3.526315689086914
1608254114.9691072,22,3.6111111640930176
1608256456.0801358,23,3.454545497894287
1608258794.613517,24,3.952380895614624
1608261138.5851505,25,3.617647171020508
1608263477.9337556,26,3.65116286277771
1608265817.073277,27,3.558823585510254
1608268154.0747113,28,3.799999952316284
1608270492.1087468,29,3.375
1608272836.1188047,30,3.5757575035095215
1608275177.9733205,31,3.640000104904175
1608277517.7149112,32,3.6410255432128906
1608279865.239372,33,3.911764621734619
1608282205.0958338,34,3.722222328186035
1608284544.9500256,35,3.5806450843811035
1608286889.569869,36,3.6875
1608289225.6145468,37,3.694444417953491
1608291573.5681376,38,3.8888888359069824
1608293915.210464,39,3.8787879943847656
1608296254.247707,40,3.5757575035095215
