Wall time,Step,Value
1608198858.6261926,0,0.7272727489471436
1608199841.4956353,1,0.5757575631141663
1608200827.8122578,2,0.8333333134651184
1608201798.038269,3,0.40625
1608202782.6749687,4,0.6904761791229248
1608203769.783084,5,0.8205128312110901
1608204743.1196127,6,2.0
1608205742.0648723,7,1.914893627166748
1608206728.2071834,8,2.236842155456543
1608207712.8386452,9,2.805555582046509
1608208694.528298,10,2.6764705181121826
1608209675.8022776,11,2.545454502105713
1608210679.013775,12,2.5757575035095215
1608211664.9458914,13,2.942857027053833
1608212639.0714006,14,3.2750000953674316
1608213622.7003367,15,3.60606050491333
1608214611.1541502,16,3.1111111640930176
1608215612.7232893,17,3.1621620655059814
1608216618.5344627,18,3.694444417953491
1608217618.9987843,19,3.454545497894287
1608218604.272283,20,3.2413792610168457
1608219601.2416556,21,3.7096774578094482
1608220590.3899074,22,3.846153736114502
1608221564.6594954,23,3.774193525314331
1608222557.4800825,24,3.6764705181121826
1608223508.4316037,25,3.1578948497772217
1608224480.3129947,26,3.680000066757202
1608225459.4651604,27,3.6451613903045654
1608226466.2231402,28,3.857142925262451
1608227479.0124393,29,3.9677419662475586
1608228463.0504816,30,3.875
1608229435.9706964,31,3.3888888359069824
1608230440.4365933,32,3.9583332538604736
1608231414.9965758,33,4.0
1608232392.4681547,34,3.6666667461395264
1608233390.7662635,35,3.935483932495117
1608234386.1898394,36,3.774193525314331
1608235371.5876224,37,3.914285659790039
1608236347.5620499,38,3.8125
1608237331.6417723,39,3.84375
1608238324.2634504,40,3.7419354915618896
