Wall time,Step,Value
1608202783.066502,0,0.26829269528388977
1608205140.471819,1,0.3414634168148041
1608207477.6911204,2,0.8055555820465088
1608209820.7568338,3,0.5121951103210449
1608212164.8587635,4,0.8837209343910217
1608214493.023172,5,1.2941176891326904
1608216833.8365853,6,1.7608696222305298
1608219158.657817,7,1.8108108043670654
1608221485.5012078,8,2.5517241954803467
1608223808.7936444,9,2.722222328186035
1608226139.821815,10,2.9761905670166016
1608228469.379481,11,2.9677419662475586
1608230799.2490995,12,3.1111111640930176
1608233133.5607183,13,2.6190476417541504
1608235471.896336,14,2.945945978164673
1608237808.2378778,15,2.9642856121063232
1608240147.5860913,16,3.0789473056793213
1608242491.6576955,17,3.387096881866455
1608244832.0352414,18,3.3421051502227783
1608247170.5411153,19,3.5
1608249513.4147654,20,3.3333332538604736
1608251852.435907,21,4.0
1608254188.8076553,22,3.3684210777282715
1608256533.4252625,23,3.7826087474823
1608258872.7023737,24,3.96875
1608261216.6780314,25,3.7272727489471436
1608263554.1535783,26,3.40625
1608265890.2228866,27,3.6666667461395264
1608268230.4818718,28,4.0
1608270567.2426116,29,3.5757575035095215
1608272901.647139,30,3.75
1608275240.8418503,31,3.65625
1608277586.1179473,32,3.5625
1608279925.9174016,33,3.71875
1608282263.7592213,34,3.8235294818878174
1608284607.3339016,35,3.8181817531585693
1608286947.0314252,36,3.6190476417541504
1608289292.5116348,37,3.6451613903045654
1608291630.8953533,38,3.700000047683716
1608293977.353785,39,3.7058823108673096
1608296317.5615559,40,3.8965516090393066
