Wall time,Step,Value
1589616177.1231313,0,0.0
1589616513.2880034,1,1.2000000476837158
1589616841.7881262,2,3.076923131942749
1589617163.880691,3,2.7142856121063232
1589617484.9424198,4,3.277777671813965
1589617809.0840063,5,3.730769157409668
1589618133.1502626,6,3.3428571224212646
1589618459.8790715,7,3.5897436141967773
1589618789.5592716,8,3.7249999046325684
1589619118.1246247,9,3.2173912525177
1589619447.3319573,10,3.1666667461395264
1589619779.2783668,11,3.240000009536743
1589620109.973004,12,3.3333332538604736
1589620435.778383,13,2.857142925262451
1589620765.4193723,14,3.411764621734619
1589621095.6876745,15,3.846153736114502
1589621425.127999,16,3.0833332538604736
1589621753.2372742,17,3.761904716491699
1589622079.8981397,18,3.3529412746429443
1589622409.4680097,19,4.130434989929199
1589622736.6493144,20,3.2432432174682617
1589623062.2901325,21,3.677419424057007
1589623388.9932997,22,3.4666666984558105
1589623719.1563077,23,3.21052622795105
1589624050.7456558,24,3.085714340209961
1589624379.9719799,25,3.607142925262451
1589624708.9302325,26,3.9000000953674316
1589625037.119495,27,3.6341464519500732
1589625368.360063,28,2.640000104904175
1589625701.603256,29,3.366666555404663
1589626031.553019,30,3.7333333492279053
1589626364.3329782,31,4.0714287757873535
1589626700.981655,32,4.294117450714111
1589627036.3106263,33,3.909090995788574
1589627374.7591972,34,4.0
1589627707.6931238,35,4.111111164093018
1589628038.5023513,36,4.5
1589628367.0209868,37,3.730769157409668
1589628694.8644753,38,4.150000095367432
1589629022.065389,39,3.7333333492279053
