Wall time,Step,Value
1589616177.025214,0,0.0
1589616504.6188326,1,0.78125
1589616829.1920078,2,2.2727272510528564
1589617151.4730318,3,3.0
1589617473.0949996,4,2.6842105388641357
1589617791.8723943,5,3.2249999046325684
1589618111.0900328,6,3.629629611968994
1589618429.8264427,7,3.1578948497772217
1589618748.045939,8,3.2962963581085205
1589619074.0250833,9,3.931034564971924
1589619397.9797773,10,3.5
1589619722.478206,11,3.5862069129943848
1589620045.0177653,12,3.411764621734619
1589620367.5241933,13,3.171428680419922
1589620689.7004669,14,3.236842155456543
1589621012.4140425,15,3.8918919563293457
1589621333.7230778,16,3.4827585220336914
1589621656.3044221,17,3.2820513248443604
1589621977.3373406,18,3.8125
1589622299.075993,19,2.351351261138916
1589622622.1878078,20,3.2962963581085205
1589622944.4024227,21,3.629629611968994
1589623271.389142,22,3.4242424964904785
1589623599.1435015,23,3.952380895614624
1589623924.3349123,24,3.2857143878936768
1589624249.7274828,25,3.346153736114502
1589624571.948151,26,3.529411792755127
1589624896.0126286,27,3.9166667461395264
1589625218.8008466,28,3.5128204822540283
1589625547.3877718,29,3.8965516090393066
1589625870.6933808,30,3.7419354915618896
1589626198.9132094,31,3.7857143878936768
1589626521.5597389,32,3.722222328186035
1589626844.578288,33,4.0
1589627166.7573469,34,4.117647171020508
1589627490.7033932,35,3.658536672592163
1589627818.1179917,36,3.4390244483947754
1589628144.5457928,37,3.799999952316284
1589628467.944777,38,4.0
1589628793.6718278,39,3.155555486679077
