Wall time,Step,Value
1589616177.1144636,0,0.0
1589616509.3823476,1,1.024999976158142
1589616842.9125795,2,1.8780487775802612
1589617170.6091907,3,2.759999990463257
1589617492.2173662,4,3.629629611968994
1589617809.4934657,5,3.222222328186035
1589618132.038218,6,3.0256409645080566
1589618459.5590286,7,3.4482758045196533
1589618785.8617744,8,3.2592592239379883
1589619104.8316329,9,3.0833332538604736
1589619425.773974,10,3.2750000953674316
1589619749.0336628,11,3.7407407760620117
1589620071.6746428,12,2.060606002807617
1589620390.141641,13,3.7407407760620117
1589620709.8391879,14,3.4634146690368652
1589621030.6869442,15,2.351351261138916
1589621351.249792,16,3.8275861740112305
1589621671.184836,17,3.620689630508423
1589621990.9056509,18,3.7142856121063232
1589622310.8356674,19,3.270270347595215
1589622630.1558726,20,3.8399999141693115
1589622950.6705658,21,3.2916667461395264
1589623271.3125713,22,4.083333492279053
1589623594.397036,23,3.0
1589623918.4114375,24,3.7878787517547607
1589624240.9451563,25,3.777777671813965
1589624572.6479783,26,3.5806450843811035
1589624899.7346215,27,3.9375
1589625223.9393973,28,3.941176414489746
1589625544.8420372,29,3.088235378265381
1589625864.9231312,30,4.296296119689941
1589626187.0277753,31,3.324324369430542
1589626515.288623,32,4.333333492279053
1589626840.7031085,33,3.944444417953491
1589627170.111622,34,4.142857074737549
1589627491.5819442,35,4.210526466369629
1589627812.1560888,36,4.1052632331848145
1589628138.6784308,37,3.3611111640930176
1589628463.8761191,38,4.166666507720947
1589628787.1669016,39,3.807692289352417
