Wall time,Step,Value
1589614861.8292031,0,0.0
1589614998.7580767,1,0.6052631735801697
1589615132.8847718,2,0.6052631735801697
1589615266.7664514,3,0.7692307829856873
1589615399.1393178,4,1.0645161867141724
1589615534.7542243,5,1.3939393758773804
1589615669.6491525,6,1.6129032373428345
1589615804.3157322,7,2.5416667461395264
1589615939.3649654,8,1.6206896305084229
1589616075.3278093,9,2.3714284896850586
1589616209.6621158,10,2.555555582046509
1589616345.5980976,11,3.0416667461395264
1589616480.0481899,12,3.3888888359069824
1589616615.4974694,13,2.9166667461395264
1589616753.8858404,14,3.269230842590332
1589616891.1800563,15,3.375
1589617028.3920112,16,3.4800000190734863
1589617166.6140513,17,3.2608695030212402
1589617305.4846935,18,4.1052632331848145
1589617441.47243,19,3.1111111640930176
1589617574.9915187,20,2.5833332538604736
1589617711.8381553,21,3.0833332538604736
1589617845.8200178,22,3.620689630508423
1589617981.1807265,23,3.633333444595337
1589618117.7152727,24,3.653846263885498
1589618252.5988925,25,3.25
1589618389.607977,26,3.7407407760620117
1589618526.2276545,27,3.222222328186035
1589618663.1826956,28,3.724138021469116
1589618802.620392,29,3.555555582046509
1589618941.941325,30,3.7333333492279053
1589619079.8993843,31,3.972222328186035
1589619216.8453116,32,3.6666667461395264
1589619355.236699,33,4.125
1589619491.9846601,34,3.4482758045196533
1589619628.8799624,35,3.5185184478759766
1589619767.1026158,36,4.370370388031006
1589619905.7415972,37,3.757575750350952
1589620044.6572087,38,4.3214287757873535
1589620181.9786513,39,3.7333333492279053
