Wall time,Step,Value
1589614847.2478065,0,0.0
1589614981.7290125,1,0.6052631735801697
1589615117.5045166,2,0.7837837934494019
1589615255.704712,3,1.2682926654815674
1589615394.0623307,4,2.0
1589615532.3587976,5,2.9200000762939453
1589615670.6863759,6,2.7200000286102295
1589615806.8931067,7,2.799999952316284
1589615942.3999279,8,2.729729652404785
1589616077.431572,9,2.6666667461395264
1589616212.0147133,10,2.722222328186035
1589616348.0686255,11,2.8235294818878174
1589616483.1743374,12,3.461538553237915
1589616621.1201036,13,3.2249999046325684
1589616759.273014,14,2.8863637447357178
1589616896.2278295,15,3.4814815521240234
1589617033.0037608,16,3.2941176891326904
1589617171.6408706,17,3.4827585220336914
1589617308.7517073,18,2.617647171020508
1589617446.586275,19,3.0833332538604736
1589617583.0312922,20,3.370370388031006
1589617721.6368265,21,3.3333332538604736
1589617858.512275,22,3.5416667461395264
1589617996.8793821,23,3.0416667461395264
1589618134.6716938,24,3.555555582046509
1589618271.6835103,25,2.7878787517547607
1589618408.56598,26,3.559999942779541
1589618543.8786342,27,3.6666667461395264
1589618681.5416386,28,3.8965516090393066
1589618820.4450326,29,3.9666666984558105
1589618961.0769207,30,3.4482758045196533
1589619100.531152,31,3.269230842590332
1589619238.4403644,32,3.1724138259887695
1589619377.5673018,33,3.379310369491577
1589619516.4584486,34,3.566666603088379
1589619657.1717162,35,3.866666555404663
1589619798.7817507,36,3.7419354915618896
1589619941.2270195,37,3.59375
1589620082.0774567,38,4.323529243469238
1589620223.6262217,39,3.064516067504883
