Wall time,Step,Value
1600824266.5872297,1,-2.2078750133514404
1600825352.148169,2,-4.927374839782715
1600826441.9388878,3,-1.381250023841858
1600827534.3997598,4,0.7643749713897705
1600828622.375992,5,-3.787750005722046
1600829706.5426612,6,-6.451749801635742
1600830794.945541,7,-0.5802500247955322
1600831883.6773398,8,-2.3252499103546143
1600832986.8447638,9,0.6211249828338623
1600834087.4556074,10,1.3537499904632568
1600835191.283569,11,2.2981250286102295
1600836297.6094859,12,1.1734999418258667
1600837407.0535219,13,2.194999933242798
1600838497.7846491,14,6.3767499923706055
1600839576.4590092,15,1.3726249933242798
1600840651.4063816,16,0.6775000095367432
1600841722.428449,17,4.775374889373779
1600842783.9609654,18,5.823124885559082
1600843850.089436,19,3.213749885559082
1600844903.5488966,20,5.409124851226807
1600845969.5040734,21,2.9988749027252197
1600847026.7626863,22,4.943624973297119
1600848078.7831793,23,7.345874786376953
1600849123.9326437,24,3.8042500019073486
1600850171.5010824,25,6.960750102996826
1600851221.2680123,26,2.151624917984009
1600852275.9339538,27,3.1836249828338623
1600853318.2176595,28,1.6092499494552612
1600854360.2356503,29,3.178375005722046
1600855398.7356927,30,2.115499973297119
1600856390.6604154,31,2.965250015258789
1600857373.795645,32,5.128375053405762
1600858469.219517,33,6.069499969482422
1600859568.1325731,34,5.852749824523926
1600860676.666703,35,7.8132500648498535
1600861786.3467824,36,8.824250221252441
1600862891.2118778,37,7.422999858856201
1600863991.9696465,38,4.347125053405762
1600865098.776791,39,8.026749610900879
1600866200.6887815,40,7.6636247634887695
