Wall time,Step,Value
1604247150.7464309,1,0.7338749766349792
1604248261.2004733,2,1.6119999885559082
1604249372.5999753,3,4.469250202178955
1604250488.8545287,4,-11.85837459564209
1604251599.2203088,5,-11.64900016784668
1604252705.9099066,6,-6.849999904632568
1604253818.0808146,7,-2.378000020980835
1604254927.9189346,8,-2.9386250972747803
1604256039.6515374,9,1.7867499589920044
1604257149.424896,10,3.4432499408721924
1604258260.770757,11,1.2551250457763672
1604259373.4505954,12,9.65149974822998
1604260485.3740332,13,11.48425006866455
1604261594.3457422,14,12.825374603271484
1604262703.8269384,15,15.115124702453613
1604263818.0924954,16,16.12762451171875
1604264930.7642033,17,9.876250267028809
1604266043.0737104,18,14.958999633789062
1604267160.5023692,19,13.112375259399414
1604268264.9466877,20,15.755000114440918
1604269382.5511417,21,17.105375289916992
1604270496.8419297,22,19.381250381469727
1604271610.5869932,23,20.329750061035156
1604272718.4103081,24,19.358625411987305
1604273826.3194673,25,16.051624298095703
1604274936.6988761,26,18.8747501373291
1604276056.1600194,27,18.87299919128418
1604277161.3789773,28,15.862250328063965
1604278269.0250354,29,22.133625030517578
1604279372.6614838,30,16.772499084472656
1604280478.4401877,31,18.266624450683594
1604281588.8858,32,19.98087501525879
1604282701.4947443,33,13.084875106811523
1604283814.3109508,34,7.850124835968018
1604284931.672586,35,19.162250518798828
1604286048.8779995,36,19.844749450683594
1604287164.098085,37,12.309749603271484
1604288275.8115988,38,12.97962474822998
1604289388.5005038,39,18.55674934387207
1604290498.2369776,40,21.638750076293945
