Wall time,Step,Value
1603551156.1444647,0,-1.4167499542236328
1603552051.8506083,1,-1.7556250095367432
1603552953.4379742,2,-0.46274998784065247
1603553859.5063822,3,-0.19900000095367432
1603554768.8270588,4,-0.7697499990463257
1603555673.9120886,5,-0.05062500014901161
1603556575.8489513,6,8.308625221252441
1603557482.1540074,7,3.1262500286102295
1603558378.3820887,8,7.5894999504089355
1603559289.9879718,9,8.958499908447266
1603560196.2286797,10,13.272624969482422
1603561114.839246,11,8.105500221252441
1603562036.6982622,12,15.523750305175781
1603562956.4592357,13,16.696125030517578
1603563872.2055643,14,15.014124870300293
1603564791.0461252,15,20.078250885009766
1603565712.14288,16,21.793750762939453
1603566634.8832145,17,16.650999069213867
1603567555.174211,18,15.518500328063965
1603568480.8471029,19,22.933500289916992
1603569395.2446592,20,20.072250366210938
1603570318.5727355,21,23.9112491607666
1603571240.6598299,22,23.547624588012695
1603572162.865172,23,21.530750274658203
1603573076.7212625,24,23.238750457763672
1603573994.9782972,25,20.15774917602539
1603574914.5650444,26,24.94325065612793
1603575841.9981873,27,19.05637550354004
1603576755.6302693,28,30.350250244140625
1603577671.9588513,29,23.458999633789062
1603578585.6248715,30,23.909875869750977
1603579497.2033985,31,28.927000045776367
1603580417.1843884,32,27.838125228881836
1603581339.7126427,33,24.85849952697754
1603582257.0255604,34,29.362499237060547
1603583183.386976,35,20.693500518798828
1603584109.4838881,36,24.23175048828125
1603585032.9386156,37,26.609500885009766
1603585953.618782,38,26.624624252319336
1603586876.1460729,39,26.49275016784668
1603587796.512223,40,28.570249557495117
