Wall time,Step,Value
1603551332.3525956,0,-3.0394999980926514
1603552245.1396427,1,-2.308000087738037
1603553156.6132529,2,-0.11900000274181366
1603554072.5162156,3,3.2634999752044678
1603554990.478889,4,2.5336248874664307
1603555905.665817,5,2.3908751010894775
1603556816.9258285,6,1.9292500019073486
1603557731.3574367,7,2.9967501163482666
1603558641.3159883,8,6.369999885559082
1603559562.2563837,9,12.338624954223633
1603560480.9513345,10,17.023374557495117
1603561408.1277614,11,16.610124588012695
1603562339.9689717,12,19.430875778198242
1603563269.3766253,13,18.121000289916992
1603564192.4478226,14,20.64699935913086
1603565120.3975577,15,17.84612464904785
1603566051.6600637,16,22.768999099731445
1603566980.9945197,17,21.17412567138672
1603567911.9405131,18,22.04537582397461
1603568847.442469,19,26.72112464904785
1603569770.0879803,20,19.968374252319336
1603570701.9279704,21,22.64787483215332
1603571633.2196698,22,27.153125762939453
1603572564.417233,23,22.924625396728516
1603573487.2552485,24,23.746625900268555
1603574413.7111485,25,24.014875411987305
1603575341.6562498,26,21.424625396728516
1603576278.7747982,27,27.34487533569336
1603577201.3947186,28,28.54199981689453
1603578125.0663433,29,23.017375946044922
1603579048.7713811,30,25.063875198364258
1603579969.9973297,31,24.191875457763672
1603580896.6436021,32,27.56887435913086
1603581828.6379235,33,29.910999298095703
1603582757.3268185,34,23.830875396728516
1603583692.3504012,35,25.94325065612793
1603584626.26558,36,28.60824966430664
1603585558.1721447,37,26.26474952697754
1603586486.6130044,38,29.504249572753906
1603587418.5631692,39,29.227750778198242
1603588321.2431536,40,29.75225067138672
