Wall time,Step,Value
1608024485.790688,0,2.744999885559082
1608025671.9214272,1,2.8681249618530273
1608026860.095089,2,2.1459999084472656
1608028055.0972865,3,1.7634999752044678
1608029250.6582036,4,2.5769999027252197
1608030442.157948,5,3.9882500171661377
1608031632.115717,6,4.522500038146973
1608032825.1117594,7,5.724374771118164
1608034016.992974,8,6.189000129699707
1608035211.0946763,9,9.540875434875488
1608036404.441458,10,14.1537504196167
1608037613.273695,11,17.36949920654297
1608038835.044477,12,19.137500762939453
1608040053.4146616,13,24.456125259399414
1608041265.831897,14,23.060749053955078
1608042481.5864358,15,25.277374267578125
1608043700.5306718,16,25.395750045776367
1608044920.861649,17,17.973249435424805
1608046140.314786,18,23.51300048828125
1608047364.9280155,19,24.783000946044922
1608048577.2818706,20,22.048500061035156
1608049799.770163,21,22.466999053955078
1608051018.8393524,22,26.207250595092773
1608052240.608252,23,26.295499801635742
1608053454.535364,24,27.048500061035156
1608054670.6119485,25,25.718624114990234
1608055889.8045259,26,28.427499771118164
1608057117.7310956,27,27.290874481201172
1608058329.7763617,28,31.013500213623047
1608059544.556703,29,27.558000564575195
1608060756.8614075,30,29.129499435424805
1608061966.4715428,31,35.9161262512207
1608063183.1035216,32,25.043624877929688
1608064406.8883414,33,32.48025131225586
1608065625.1132405,34,29.67474937438965
1608066850.6013594,35,32.908748626708984
1608068075.7636366,36,34.42625045776367
1608069296.8723516,37,33.18450164794922
1608070515.7387977,38,34.05125045776367
1608071736.505819,39,32.966373443603516
1608072953.9515674,40,29.94937515258789
