Wall time,Step,Value
1608024447.5837233,0,2.3277499675750732
1608025634.9410548,1,2.281125068664551
1608026821.1688254,2,3.1861250400543213
1608028015.4212372,3,1.7097500562667847
1608029211.0722256,4,2.937999963760376
1608030402.720935,5,2.7713749408721924
1608031592.6333463,6,3.5183749198913574
1608032786.7204697,7,5.9538750648498535
1608033977.9413273,8,11.551750183105469
1608035174.5025215,9,11.843999862670898
1608036368.9821067,10,14.333749771118164
1608037577.0442371,11,18.0418758392334
1608038796.5515158,12,21.174875259399414
1608040014.3828099,13,22.865249633789062
1608041226.9204774,14,25.347875595092773
1608042443.3399594,15,26.479249954223633
1608043667.9125445,16,30.518375396728516
1608044888.3627338,17,22.67337417602539
1608046105.7447686,18,26.398250579833984
1608047328.9992163,19,28.105749130249023
1608048541.312397,20,33.12525177001953
1608049764.9512076,21,26.163249969482422
1608050985.5231767,22,30.964624404907227
1608052208.6808858,23,26.280000686645508
1608053424.3448439,24,27.586750030517578
1608054638.726538,25,27.242624282836914
1608055858.3618965,26,25.403249740600586
1608057084.8006387,27,24.864500045776367
1608058297.5400274,28,28.478500366210938
1608059511.2281785,29,30.88862419128418
1608060724.39311,30,27.33275032043457
1608061933.2247941,31,31.48787498474121
1608063149.6306171,32,28.00637435913086
1608064370.4582884,33,29.593624114990234
1608065586.4498174,34,27.857999801635742
1608066810.8168519,35,26.01474952697754
1608068036.057527,36,33.96587371826172
1608069258.0883934,37,30.619125366210938
1608070477.601054,38,27.38825035095215
1608071696.7904372,39,32.009498596191406
1608072913.2370622,40,33.17937469482422
