Wall time,Step,Value
1588086833.9389098,0,-1.2123750448226929
1588088223.1675386,1,-1.425125002861023
1588089609.5146608,2,2.5840001106262207
1588090981.7087584,3,9.24625015258789
1588092380.252527,4,12.80525016784668
1588093747.4126227,5,12.369375228881836
1588095142.2706692,6,12.279000282287598
1588096507.794553,7,17.164125442504883
1588097902.8433287,8,11.66087532043457
1588099283.2624176,9,13.892374992370605
1588100683.9336748,10,12.64799976348877
1588101993.6891546,11,17.05699920654297
1588103399.0278642,12,15.060125350952148
1588104690.11881,13,12.22712516784668
1588105668.311357,14,14.49637508392334
1588106651.2727983,15,13.26675033569336
1588107633.022936,16,17.20537567138672
1588108580.5556993,17,14.015000343322754
1588109532.0925148,18,14.908249855041504
1588110489.4316952,19,18.024499893188477
1588111457.0400944,20,13.7993745803833
1588112432.8249326,21,14.706500053405762
1588113377.2276974,22,17.102249145507812
1588114336.6842315,23,15.666500091552734
1588115280.7250812,24,18.007875442504883
1588116237.158227,25,15.9506254196167
1588117197.1819594,26,18.534000396728516
1588118153.335112,27,17.60712432861328
1588119103.4811566,28,20.96987533569336
1588120045.0524,29,16.169374465942383
1588121005.1421437,30,15.677749633789062
1588121938.2552314,31,12.704500198364258
1588122900.3792543,32,16.298500061035156
1588123865.487755,33,12.16812515258789
1588124819.2067428,34,13.402874946594238
1588125777.640862,35,17.849624633789062
1588126736.341435,36,13.784500122070312
1588127700.4154346,37,21.384374618530273
1588128655.3343682,38,19.251625061035156
1588129615.734617,39,17.793624877929688
